,LogisticRegression(max_iter=3000),RandomForestClassifier(),DecisionTreeClassifier(),AdaBoostClassifier(),SVC(kernel='linear')
0,0.938,0.992,0.989,0.981,0.965
1,0.953,0.991,0.972,0.959,0.959
2,0.952,0.965,0.97,0.97,0.639
3,0.815,0.815,0.963,0.926,0.852
4,0.858,0.967,0.964,0.893,0.855
5,0.965,0.97,0.951,0.959,0.971
6,0.89,0.932,0.93,0.916,0.909
7,0.868,0.857,0.938,0.949,0.874
8,0.898,0.946,0.976,0.934,0.753
9,0.8,0.8,0.892,0.831,0.831
10,0.745,0.902,0.922,0.941,0.804
11,0.786,0.643,0.714,0.69,0.786
12,0.931,0.914,0.943,0.926,0.931
13,0.939,0.927,0.994,0.933,0.951
14,0.823,0.819,0.865,0.786,0.86
15,0.917,0.95,0.934,0.785,0.942
16,0.922,0.971,0.985,0.922,0.913
17,0.902,0.954,0.964,0.964,0.897
18,0.913,0.92,0.907,0.847,0.887
19,0.903,0.966,0.986,0.924,0.89
20,0.807,0.96,0.969,0.955,0.8
21,0.829,0.972,0.972,0.972,0.802
22,0.835,0.966,0.967,0.945,0.834
23,0.794,0.964,0.976,0.966,0.794
24,0.937,0.991,0.946,0.973,0.973
25,0.917,0.972,0.972,0.986,0.931
26,0.899,0.928,0.942,0.942,0.928
27,0.893,0.857,0.929,0.964,0.893
28,0.832,0.938,0.972,0.938,0.87
29,0.851,0.902,0.921,0.883,0.88
30,0.847,0.85,0.921,0.921,0.868
31,0.822,0.851,0.93,0.915,0.883
32,0.931,0.949,0.937,0.965,0.937
33,0.944,0.977,0.972,0.977,0.947
34,0.93,0.937,0.907,0.955,0.95
35,0.945,0.979,0.945,0.982,0.945
