,LogisticRegression(max_iter=3000),RandomForestClassifier(),DecisionTreeClassifier(),AdaBoostClassifier(),SVC(kernel='linear')
0,0.946,0.996,0.996,0.983,0.962
1,0.959,0.989,0.983,0.974,0.963
2,0.961,0.981,0.977,0.981,0.784
3,0.881,0.881,0.957,0.955,0.907
4,0.888,0.99,0.974,0.889,0.889
5,0.96,0.95,0.942,0.959,0.961
6,0.958,0.986,0.978,0.977,0.965
7,0.957,0.971,0.97,0.964,0.957
8,0.941,0.928,1.0,0.958,0.909
9,1.0,1.0,0.909,1.0,1.0
10,0.843,0.945,0.96,0.968,0.874
11,0.657,0.894,0.826,0.875,0.326
12,0.97,0.977,0.872,0.971,0.97
13,0.961,0.968,1.0,0.957,0.968
14,0.968,0.982,0.993,0.93,0.968
15,0.947,0.984,0.927,0.859,0.963
16,0.95,0.98,1.0,0.962,0.955
17,0.958,0.991,0.987,0.972,0.968
18,0.95,0.958,0.989,0.912,0.933
19,0.924,0.985,0.993,0.947,0.933
20,0.86,0.988,0.978,0.959,0.859
21,0.881,0.991,0.971,0.965,0.871
22,0.885,0.989,0.978,0.968,0.885
23,0.867,0.987,0.969,0.961,0.859
24,0.944,1.0,0.922,0.986,0.966
25,0.946,0.985,0.992,0.985,0.954
26,0.943,0.968,0.984,0.976,0.968
27,0.933,0.933,0.933,1.0,0.933
28,0.887,0.961,0.88,0.956,0.91
29,0.91,0.947,0.935,0.919,0.919
30,0.922,0.935,0.916,0.936,0.914
31,0.889,0.93,0.889,0.908,0.912
32,0.966,0.989,0.923,0.964,0.971
33,0.953,0.986,0.979,0.977,0.954
34,0.96,0.994,0.971,0.953,0.967
35,0.959,0.991,0.954,0.962,0.95
