,LogisticRegression(max_iter=3000),RandomForestClassifier(),DecisionTreeClassifier(),AdaBoostClassifier(),SVC(kernel='linear')
0,0.952,1.0,0.994,0.983,0.956
1,0.966,0.989,0.978,0.981,0.963
2,0.959,0.991,0.986,0.991,0.96
3,0.974,0.974,0.957,1.0,0.975
4,0.925,0.994,0.975,0.822,0.93
5,0.952,0.919,0.912,0.946,0.95
6,0.995,0.995,0.969,0.982,0.995
7,0.984,1.0,0.952,0.962,0.976
8,1.0,0.97,1.0,0.971,1.0
9,1.0,1.0,0.833,1.0,1.0
10,1.0,1.0,0.923,1.0,0.974
11,0.523,1.0,0.95,0.955,0.2
12,0.985,1.0,0.892,0.971,0.985
13,0.993,1.0,1.0,0.993,0.993
14,0.986,0.986,0.986,0.977,0.979
15,0.978,1.0,0.937,1.0,0.979
16,0.976,1.0,1.0,0.988,0.994
17,0.987,0.994,0.987,0.952,1.0
18,0.984,0.992,1.0,0.991,0.992
19,0.953,1.0,1.0,0.976,0.992
20,0.911,0.991,0.971,0.954,0.912
21,0.924,0.996,0.961,0.951,0.93
22,0.92,0.995,0.972,0.975,0.919
23,0.925,0.992,0.96,0.947,0.913
24,0.971,1.0,0.877,1.0,0.972
25,0.984,1.0,1.0,1.0,0.984
26,0.983,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0
28,0.994,0.995,0.792,0.98,1.0
29,0.993,0.987,0.924,0.967,0.967
30,0.984,0.995,0.9,0.942,0.949
31,0.985,1.0,0.87,0.923,0.951
32,0.97,0.988,0.862,0.937,0.973
33,0.97,0.994,0.977,0.977,0.968
34,0.955,0.994,0.971,0.921,0.95
35,0.974,1.0,0.951,0.936,0.957
