,LogisticRegression(max_iter=3000),RandomForestClassifier(),DecisionTreeClassifier(),AdaBoostClassifier(),SVC(kernel='linear')
0,0.941,0.992,0.997,0.983,0.969
1,0.952,0.989,0.989,0.967,0.963
2,0.963,0.972,0.968,0.972,0.662
3,0.804,0.804,0.957,0.913,0.848
4,0.855,0.985,0.972,0.97,0.851
5,0.967,0.982,0.975,0.972,0.972
6,0.924,0.978,0.987,0.973,0.937
7,0.931,0.943,0.989,0.966,0.939
8,0.889,0.889,1.0,0.944,0.833
9,1.0,1.0,1.0,1.0,1.0
10,0.729,0.896,1.0,0.938,0.792
11,0.885,0.808,0.731,0.808,0.885
12,0.956,0.956,0.853,0.971,0.956
13,0.931,0.938,1.0,0.924,0.945
14,0.951,0.979,1.0,0.888,0.958
15,0.918,0.969,0.918,0.753,0.948
16,0.926,0.96,1.0,0.937,0.92
17,0.931,0.987,0.987,0.994,0.937
18,0.919,0.926,0.978,0.844,0.881
19,0.896,0.97,0.985,0.919,0.881
20,0.814,0.985,0.985,0.965,0.813
21,0.843,0.986,0.982,0.979,0.819
22,0.853,0.983,0.984,0.96,0.853
23,0.815,0.981,0.978,0.975,0.812
24,0.918,1.0,0.973,0.973,0.959
25,0.91,0.97,0.985,0.97,0.925
26,0.906,0.938,0.969,0.953,0.938
27,0.875,0.875,0.875,1.0,0.875
28,0.801,0.929,0.991,0.934,0.834
29,0.839,0.911,0.946,0.875,0.875
30,0.867,0.882,0.934,0.929,0.882
31,0.811,0.868,0.909,0.893,0.877
32,0.963,0.99,0.993,0.993,0.97
33,0.937,0.977,0.98,0.977,0.94
34,0.964,0.994,0.971,0.987,0.984
35,0.943,0.982,0.958,0.989,0.943
