,LogisticRegression(max_iter=3000),RandomForestClassifier(),DecisionTreeClassifier(),AdaBoostClassifier(),SVC(kernel='linear')
0,0.941,0.971,0.914,0.944,0.941
1,0.941,0.951,0.94,0.896,0.931
2,0.846,0.929,0.542,0.757,0.421
3,0.933,0.933,0.889,1.0,0.933
4,0.91,0.912,0.878,0.888,0.911
5,0.928,0.925,0.911,0.92,0.931
6,0.684,0.881,0.827,0.854,0.869
7,0.807,0.652,0.88,0.929,0.802
8,0.911,0.896,0.916,0.89,0.809
9,0.772,0.759,0.709,0.762,0.787
10,1.0,1.0,0.857,1.0,1.0
11,0.588,0.667,0.72,0.667,0.408
12,0.887,0.927,0.88,0.923,0.912
13,1.0,0.914,0.8,0.974,0.95
14,0.726,0.629,0.699,0.73,0.793
15,0.957,0.957,0.846,0.957,0.957
16,0.949,0.951,0.903,0.873,0.931
17,0.831,0.892,0.547,0.769,0.769
18,0.897,0.929,0.867,0.929,0.966
19,1.0,1.0,0.8,1.0,1.0
20,0.861,0.913,0.93,0.927,0.848
21,0.857,0.942,0.928,0.929,0.834
22,0.802,0.897,0.906,0.888,0.791
23,0.8,0.936,0.906,0.9,0.82
24,0.949,0.962,0.861,0.961,0.927
25,0.769,0.769,0.625,0.769,0.625
26,0.889,0.889,0.889,0.889,0.889
27,0.957,0.909,1.0,0.957,0.957
28,0.922,0.964,0.935,0.95,0.948
29,0.911,0.903,0.744,0.883,0.916
30,0.882,0.884,0.909,0.895,0.878
31,0.904,0.884,0.91,0.912,0.928
32,0.879,0.873,0.784,0.908,0.873
33,0.957,0.945,0.843,0.896,0.936
34,0.885,0.882,0.78,0.905,0.893
35,0.943,0.874,0.879,0.833,0.921
