,F23,F25,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F61,F62,F64,F65,F66,F67,F68,F69,F70,F72,F73,F74,F77,F79,F83,F84,F88,F94,F95,F101,F102,F103,F104,F105,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,category
F23,0.9999999999999999,-0.05066630366358013,0.10376145409176143,-0.00102354777720393,-0.003326482102345154,4.5327093901129705e-05,-0.001162800406733956,-0.0008440715423061338,0.02376556851867237,-0.09817406840253401,-0.0975134461653612,-0.09386398201514011,-0.09796119058948305,-0.09817149098894447,-0.02933424512520417,0.08194080569306746,0.09170384626243988,-0.09109151235857021,0.07856563000957095,-0.09178420337493651,0.08357954548810922,-0.09020466914745395,0.057830384223050195,-0.10167725075367826,-0.025348925657100944,,-0.2962592304798977,-0.10167725075367826,-0.007635943984970069,-0.2962263515180398,-0.016284296968236127,-0.10849668673074836,-0.08709048407375095,0.11341333892043366,0.08184707989719953,0.15010986226974957,0.1417046863773921,0.0944327741131484,-0.16119342154197283,0.06426619279337134,-0.016624995296342315,0.06059300221251935,-0.5623486516107307,-0.0870904840737508,0.11341333892043326,-0.004534962863274391,-0.13026674840053837,-0.39880935620994223,-0.3139890801664891,-0.3574650967904008
F25,-0.05066630366358013,0.9999999999999998,-0.06960116976308633,-0.19942699770854436,-0.15801835187672486,0.09302194778392431,-0.18913941190975153,-0.2016981039066901,-0.14120559505946134,-0.030165385489171415,-0.016284112243623194,0.005513001481082032,-0.02705599547407346,-0.03121848443172368,-0.20893985680015328,0.18093376576917647,-0.023098106741861545,-0.008015460377054254,0.10498375915216263,-0.01304049274087627,-0.09069943103602995,-0.01828118229951008,0.008978882834524518,0.4057447419841689,0.947234361033747,,0.16435244833251672,0.4057447419841689,0.11778026310462035,0.16431674975690977,0.1219215413190552,0.44468615395877303,-0.010482190097706741,0.16064139346542028,-0.03960664605761128,0.12429835073456487,0.10521442519870403,-0.028788680251537847,0.020171812821178955,0.06542448852191252,-0.001544232499445606,-0.018420278897062138,0.025177209908629632,-0.010482190097706819,0.16064139346541992,0.12405487944044181,0.06545579439686763,0.1205015864828774,0.04960686826759967,0.09507184678257434
F34,0.10376145409176143,-0.06960116976308633,0.9999999999999999,0.02640575278733776,0.03182151076426199,-0.02407646194753696,0.025024768151165232,0.025878356495773133,0.030962945537298444,0.01076965725874818,0.00803229985955928,-0.005261991182091306,0.009588704360569121,0.010974699966540965,0.05247831300920764,0.015498635738873843,0.25809451518796495,-0.006947587863603595,-0.002696956142222259,-0.006765412424382674,-0.03233814497635263,-0.01116136609224814,0.2595300903813453,-0.024765713423482924,-0.06232570254451027,,-0.12412138949770161,-0.024765713423482924,-0.10711692898337859,-0.12411568681291715,-0.032589595371097645,-0.06026666176674006,-0.0009227369286802509,-0.07922046231454061,0.04273350153640476,0.0052059537583297585,0.02373157639415395,-0.004808470192365846,-0.5344050179772311,0.18770659704681728,0.039385055579317894,0.015907756359937332,-0.23699496980858656,-0.0009227369286802799,-0.07922046231454048,-0.11136576814041621,-0.031301732430795356,-0.12176749778508032,-0.08859468412982374,-0.14345772701453227
F35,-0.00102354777720393,-0.19942699770854436,0.02640575278733776,1.0,0.9462167470670271,0.16544975726332467,0.9979554574278474,0.9996977907309216,0.4228514420351704,0.10792614720599751,0.09920305638269786,0.10012149510693483,0.10699618377392589,0.10853945836969171,0.13322453375730342,0.10197969175875646,0.053239248644537954,0.09634673652775304,0.11538751942914893,0.09710576193383175,0.2221896730599344,0.09663732410776556,0.07978397308718185,0.010583404429216991,-0.1338558308414616,,-0.1001469008034157,0.010583404429216991,-0.0019636523577445234,-0.10009956823200643,-0.03681468508696516,-2.4445612262399004e-05,0.09466877437934636,-0.0004328174801956988,0.013519468790502587,0.1494345421068855,0.1772922136716388,0.0367287222869629,0.039688105465133024,-0.03273930881736791,-0.0015502782968091944,-0.020494811763290852,-0.03148841232719002,0.09466877437934614,-0.00043281748019568134,-0.003205954269682836,-0.015241488255825521,0.014672264697530179,0.019646412403102574,0.012178075734890676
F36,-0.003326482102345154,-0.15801835187672486,0.03182151076426199,0.9462167470670271,0.9999999999999999,0.137540010302603,0.9499647932770391,0.9379773479319744,0.3361311535714389,0.10086733578430011,0.10376011339541305,0.10003129279413307,0.10110097724380178,0.10058950733704404,0.04337082424704152,0.10283247881613343,0.06769235497805767,0.10062885862551887,0.1267144251975873,0.1012948251242769,0.2422090008370929,0.10102582028089012,0.09679578313256532,0.013118179778096777,-0.104034129047868,,-0.1165684962635057,0.013118179778096777,0.007815642858466233,-0.1165141001578863,-0.04282446938295306,0.015310155529249962,0.10107990750075072,-0.017221847131843323,-0.008985894233982317,0.16891618747169704,0.20514701560945417,0.04271430180247449,0.03128731095472837,-0.022322231314612667,-0.010682053174595278,-0.007594577377252909,-0.0295851885571959,0.10107990750075085,-0.017221847131843458,0.006839736582237213,-0.014421931976771623,0.013742930321733992,-0.00173248252185218,0.011443241652892906
F37,4.53270939011297e-05,0.09302194778392432,-0.024076461947536962,0.1654497572633247,0.137540010302603,1.0,0.22457722111200062,0.166844295670871,0.41289064733216696,0.07823413248072697,0.07589064249746302,0.08869877849648855,0.07883580761493557,0.07837207909512595,0.041790693094118044,0.04685980783107915,-0.03976274004978477,0.08332592463319066,-0.010446078227946869,0.08336531631698087,0.08007848370699219,0.08432071186015098,-0.020207644945798083,0.015816534787902396,0.10515400235844304,,-0.09101317924234029,0.015816534787902396,-0.05105589516469629,-0.09096835186141898,-0.03387627736090637,-0.0005099027509158892,0.07889024559875549,-0.025504109955838798,0.018395616909050505,0.0251754192411839,0.016454927188060967,-0.006602510878772498,0.08375734300117772,-0.031503306624588494,0.008687750235040915,-0.006576830177471649,-0.06312463700107553,0.07889024559875561,-0.02550410995583887,-0.05036087068381201,-0.00013113310669421102,-0.03870973282834596,-0.011825651569810665,-0.031546060280655014
F38,-0.0011628004067339563,-0.18913941190975153,0.025024768151165232,0.9979554574278473,0.949964793277039,0.22457722111200065,0.9999999999999999,0.9972220825205318,0.439194677860731,0.11139208695108765,0.10336215183803169,0.10476699758517752,0.11058426772178515,0.11195010357505075,0.12875837402774187,0.10405897153823378,0.05123490120508535,0.10097717240519098,0.1144584619478088,0.10172583780482362,0.226537383096124,0.10133426804768499,0.07893348750999378,0.011643467883108459,-0.12415116862190616,,-0.1060202556839244,0.011643467883108459,-0.004491525840549293,-0.10597007988661519,-0.03899817272128796,0.0009502936753740042,0.09917688255415129,-0.003122811155476883,0.013071270999137007,0.1509631514430805,0.17857963429010046,0.03638461089470312,0.04401415272562794,-0.033732674569417136,-0.0015935462541953832,-0.019877528452392546,-0.035025441247435646,0.09917688255415144,-0.0031228111554769647,-0.00566197505818995,-0.015061114009306448,0.012065191423134341,0.017331487104264614,0.010052993510561251
F39,-0.0008440715423061338,-0.2016981039066901,0.025878356495773133,0.9996977907309215,0.9379773479319745,0.16684429567087097,0.9972220825205319,1.0,0.4275848955406273,0.10798882831599205,0.0984214120778942,0.09968893304663246,0.10697453203987303,0.10866715930240244,0.13946719663379065,0.10146732315096015,0.05190739915154606,0.0955985185201158,0.11402045030565067,0.09636128359819784,0.21969339070792387,0.09587974813084077,0.07814120518498385,0.01034435564147876,-0.13553430575484435,,-0.09845960986300335,0.01034435564147876,-0.0026980952739020002,-0.0984130217351963,-0.03619646983944915,-0.0011895086686796973,0.09376615182570956,0.0008447643938758506,0.015170161155548145,0.14729842420030526,0.1743976149763079,0.03611272346925413,0.04015223954679463,-0.03338714337216347,-0.0008496139419729942,-0.021385063223412278,-0.031494827954972014,0.0937661518257093,0.000844764393875846,-0.003955186500758422,-0.0152368684188982,0.014678484363021686,0.021184622148791733,0.012180463231095128
F40,0.02376556851867237,-0.14120559505946131,0.030962945537298444,0.42285144203517033,0.33613115357143897,0.412890647332167,0.43919467786073096,0.4275848955406273,1.0,0.13458399517194602,0.12171925225192654,0.12980414093774667,0.1336152911695226,0.13550189316817077,0.18555385166148522,0.14865134189910859,0.024222381646071826,0.12158128245902416,0.2764511581574659,0.12323252554065006,0.38663552340376905,0.12433174213239101,0.047479554413321454,-0.04731508935467953,-0.1305006685974853,,-0.18394961198956822,-0.04731508935467953,-0.055134138167200544,-0.18386007803581095,-0.0676298092892362,-0.08582912331722711,0.11503540827022651,0.08612910892661217,0.15036683577959023,0.330774846737416,0.25509250703187347,0.009015366546148916,0.07493034254895486,-0.0561544887986762,-0.006219604223111049,-0.035195363705988685,-0.08939513706721014,0.11503540827022637,0.08612910892661318,-0.05577808790350826,-0.04195511881831924,-0.05105097384142018,0.01775508886043514,-0.041498590157628475
F41,-0.09817406840253401,-0.03016538548917141,0.010769657258748181,0.1079261472059975,0.10086733578430013,0.07823413248072697,0.11139208695108764,0.10798882831599203,0.134583995171946,1.0,0.9934343881551558,0.9886189451226399,0.9999127611295925,0.9999611506794676,0.3997661593382346,0.17473880464750374,-0.07044608890253115,0.9807018621365954,0.17115287520344627,0.9829872900236024,0.24432150247878867,0.9749227118879518,-0.010873409608391558,0.10843490098003149,-0.024970212565018003,,-0.09964422757352909,0.10843490098003149,-0.13155871876331154,-0.09950146486923798,-0.2331821400678716,0.08330299357615828,0.9765386274552191,-0.04244186985421962,0.003626793182423243,0.10719707838534476,0.08103284751184095,-0.13274282044436853,0.07655258250354346,-0.059476995271090245,-0.05493538140217283,0.07244713914866635,0.026906738973527362,0.9765386274552201,-0.04244186985421969,-0.12119246004854374,-0.00981669231075925,0.0008366006766879894,0.023558283464185786,0.0006109561342340973
