,F23,F25,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F61,F62,F64,F65,F66,F67,F68,F69,F70,F72,F73,F74,F77,F79,F83,F84,F88,F94,F95,F101,F102,F103,F104,F105,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,category
F23,1.0,0.029872570064635257,0.1793354380492196,-0.04951909863505201,0.0004938480959613396,-0.00710314690211673,-0.010598319962669535,-0.02117514346232107,-0.007480313992280491,-0.05962821247798124,0.006711126612588025,-0.010654920731405318,-0.018996034671619928,-0.06961563445879594,-0.025438622541736497,-0.057787013499328986,0.031021718348472355,0.01647213391158596,-0.02500992388807987,-0.01825741999348802,-0.0033561100969750385,0.00280460857236642,0.029842151956470674,0.006201086256659221,0.028955787034875183,0.044026109171241,0.0029392193819036947,0.006201086256659217,0.055178430108804286,0.042684069532978965,0.07156013512207983,0.009081235363016636,0.07933884352584378,0.03520386507642583,0.041976391040442165,-0.010169391395989888,-0.0070930066884761665,-0.07889501621995514,0.008471450604157956,-0.052316321184345996,-0.07088588204078823,0.3675135807871056,0.01767036194994139,0.07933884352584365,0.03520386507642553,0.055237570610853846,-0.009343896229369148,0.013908976173469442,0.026357618705069755,0.0031171700306193593
F25,0.02987257006463526,1.0,-0.23995598295904116,0.4587885672181804,0.5409062622439422,0.5480998640024983,0.5350403851810555,-0.5456485998071047,0.41177142147747037,0.06035939438582376,0.08150065300493978,0.4719774600889742,0.10125095531459931,-0.07353766782611922,-0.31596911474005573,0.11558798301758756,-0.07045106129324345,0.5458281414615654,-0.2378130861006405,0.3527372486969537,0.5751598621626083,0.4814593479592871,-0.06587603731916182,0.06444498533245997,0.9989534985083225,0.03307078329811785,0.674753609599463,0.06444498533245996,0.2888750297657827,-0.3479272699061878,-0.2571657076683769,0.04318941278794963,-0.28928510156206555,0.15284397431219934,-0.00947809478883952,0.4585344975263248,0.44557687102722865,0.039692671586599136,0.07973620547527635,0.0005275389758797501,-0.026379255375366843,-0.04299477827951797,0.1517329297583208,-0.28928510156206594,0.1528439743121996,0.2889069359258183,0.3323414688082244,0.019468204067239776,0.097766461721466,0.01589232478373864
F34,0.1793354380492196,-0.23995598295904116,1.0,-0.11652863202288806,-0.13330971996789875,-0.13601602724147585,-0.13270753267891966,0.13304698095900283,-0.060222347436172656,-0.21449366687677698,-0.04873906447629398,-0.16682465746793226,-0.12151614301463509,-0.1315531815551748,-0.20427501828122557,0.1129886618687825,-0.07461652017965259,-0.14899260216712565,-0.3885355634737963,-0.2772938543441616,-0.15890123931149758,-0.23210088942863524,-0.06896812293318348,-0.03928967809640292,-0.24022516855798096,0.008610721571792313,-0.18604000371228352,-0.039289678096402963,-0.24827340272898688,-0.04492313536223065,0.4479712695256958,-0.039154513020835155,0.5046323530614237,-0.08045798856083233,0.07496906559879046,-0.2883006742656722,-0.3822922549267012,-0.030370592848124964,-0.40495263812645943,0.030515449547635506,0.18272117630127335,0.18450507009831954,0.22115150354198138,0.504632353061424,-0.08045798856083293,-0.24834651705017638,0.010583645302309028,0.07915433617938378,0.14118149996515172,0.0943388234546359
F35,-0.04951909863505201,0.45878856721818034,-0.11652863202288806,1.0,0.9065361757977141,0.9079319428058663,0.9394567643490764,-0.8188007882699989,0.837490777903343,0.3244501596122648,0.23243522650040996,0.7075430927368895,0.3097244815154574,-0.059864623815701276,-0.15419089331938965,0.33297987362612813,-0.053279017581843086,0.7136079105551103,-0.15141273812210448,0.6132872622776345,0.8912244907278261,0.7054039271280399,-0.047322245160331365,-0.033502232585271956,0.48653003427359576,-0.01303906917608474,-0.010089817990185105,-0.03350223258527193,0.3589136614392128,-0.3530408744633979,-0.19423754105129365,-0.05467276677022712,-0.13588706221370234,0.533842294787374,-0.004811517255607713,0.8144863157398349,0.6984230880830038,-0.1831829253069586,0.13516888178113984,-0.07050288047730603,-0.04913881547611383,-0.011586489169372428,0.24538827047364553,-0.13588706221370234,0.5338422947873768,0.3588534486656944,0.4641430355517819,-0.11768139067741257,0.08710131038242647,-0.1055565222547505
F36,0.0004938480959613396,0.5409062622439422,-0.13330971996789875,0.9065361757977141,1.0,0.9885056940807747,0.9958271485381226,-0.9846069072633453,0.8104749746314288,0.30032294227232664,0.2426517670337099,0.7518119261262032,0.3095475167766684,-0.10026715554980101,-0.23045486226328998,0.30140902676892,-0.04991625205816741,0.7848092143462022,-0.16442642999180498,0.6646066711210619,0.9835411985238945,0.7665793814179305,-0.04428028345321055,0.037805889715160454,0.5702135568581702,0.016497353762062694,-0.00450220427811358,0.03780588971516046,0.4052765318536091,-0.3190965158100025,-0.22616968274213264,0.015329097104743396,-0.1191477079556871,0.631037606682779,0.004885961258145762,0.9128280841618192,0.7931686365275483,-0.1920452143782527,0.16410732696841074,-0.07116013276936389,-0.05444966066572244,0.01725322372122147,0.22208545096250173,-0.11914770795568705,0.6310376066827816,0.40522008014055744,0.46451367841637065,-0.18667639958538945,0.05615176215064688,-0.16882194629352124
F37,-0.00710314690211673,0.5480998640024983,-0.13601602724147582,0.9079319428058663,0.9885056940807747,1.0,0.9909325110725643,-0.9683971792465588,0.8072392649302729,0.2844240041625022,0.20529317784065942,0.7507395868821188,0.27999024216289753,-0.05497898728720579,-0.2606488649487387,0.3132308212450643,-0.04681513966184204,0.796064318929686,-0.1464502244446838,0.6684442694900974,0.9952408506968465,0.7730502555273214,-0.041269839332974866,0.05850002858160992,0.5779546244924095,0.014692504388603337,-0.002055911122262895,0.05850002858160992,0.41303309364841195,-0.2979050828860071,-0.23060713096728377,0.03600548651298243,-0.10947100141885373,0.6526474102526681,-0.0027089228044522512,0.9288282583698436,0.8123156541360198,-0.19070937976203886,0.1739725531591884,-0.07190848363285783,-0.057961095042654,0.025335366952523742,0.21405900713953913,-0.10947100141885353,0.6526474102526691,0.4129817426045276,0.4621184282452725,-0.17611890922436832,0.06416198609040247,-0.15953666860082572
F38,-0.010598319962669535,0.5350403851810555,-0.13270753267891966,0.9394567643490764,0.9958271485381226,0.9909325110725642,0.9999999999999999,-0.9653011253248927,0.8281233915671988,0.30685321165074203,0.23760278682086322,0.7551202820313349,0.30904098576264405,-0.08560699606178652,-0.22502532400733227,0.31456944813379384,-0.05079075010836939,0.7857332414175218,-0.1611950532998521,0.6660648897427953,0.9836530542609951,0.768259036357038,-0.04501903564688841,0.028468311629259554,0.5646175322154521,0.010707268881007021,-0.005199956061760463,0.02846831162925948,0.4042589110710223,-0.326841706356569,-0.22444907244835358,0.005879979681398672,-0.12249757413278825,0.6263902052047552,0.0016700728396477611,0.9114396301794689,0.7911409758621504,-0.193165738676567,0.16298178252441914,-0.0723158042918161,-0.05495136639985884,0.013454684415680724,0.22866778460086154,-0.12249757413278826,0.6263902052047571,0.40420177578103533,0.4714582578205106,-0.17434821667033754,0.06454033971007607,-0.1575535274293272
F39,-0.02117514346232107,-0.5456485998071048,0.13304698095900283,-0.8188007882699991,-0.9846069072633453,-0.9683971792465589,-0.9653011253248927,0.9999999999999999,-0.7554487356670622,-0.2740879081636925,-0.23375642053403642,-0.7294745074503143,-0.2927301793581847,0.111572285828778,0.24956640476981062,-0.27203318727180015,0.0458238158488164,-0.7718383732735797,0.1609206223606237,-0.6499056764728601,-0.9685634294162034,-0.7504433970054806,0.040625538198274504,-0.06528623014854228,-0.5740189378482499,-0.027834621160929465,0.0019451027515036256,-0.06528623014854223,-0.40255097075396773,0.2877811639072008,0.2271572951669077,-0.043484393515370104,0.10577178311919264,-0.6371474855261884,-0.00863693920301364,-0.9041700276749365,-0.7894941812289441,0.1853265490281787,-0.16721247152666427,0.06758307144249022,0.05370333720902467,-0.028261129695103682,-0.20042378874273392,0.10577178311919286,-0.6371474855261907,-0.40249912990891196,-0.4395406397353374,0.20514627515687678,-0.040299645283167186,0.18588525455282107
F40,-0.007480313992280491,0.4117714214774703,-0.060222347436172656,0.8374907779033431,0.8104749746314288,0.8072392649302729,0.8281233915671989,-0.7554487356670622,1.0,0.28818959792052057,0.2570897286003979,0.6213518675617999,0.30650835998274656,-0.13575369083387748,-0.08025216868402103,0.38065208455052285,-0.06432968845885935,0.5824573238624086,-0.1875755268395289,0.5054299164764229,0.7949611963803724,0.598227278349443,-0.05815330354939307,-0.09679765034054533,0.43622131132284575,0.0047011206372394735,-0.01761552740482255,-0.0967976503405454,0.3044489880057747,-0.42953402933160073,-0.10303267688786329,-0.11728621166683871,-0.1736861775007306,0.41090122145012103,0.01890916308263447,0.7020859783078938,0.5857359694350505,-0.13273735294695807,0.12195391846859446,-0.07359416221522125,-0.008998913364374651,-0.02888440587138342,0.2883461614213906,-0.17368617750073032,0.41090122145012364,0.30439419893918845,0.45204888929781795,-0.131171395705054,0.08592035289037314,-0.11794518896512168
F41,-0.05962821247798123,0.06035939438582376,-0.21449366687677698,0.32445015961226475,0.30032294227232664,0.2844240041625022,0.30685321165074203,-0.2740879081636925,0.28818959792052057,1.0,0.8188823911181188,0.6241715797754313,0.9293798743701616,-0.3516633534759991,0.22851470086537143,0.1504242285663689,0.03417175173584976,0.37235581651881267,0.1898138122814622,0.7509450738698998,0.2714474933164645,0.5803595530978831,0.037918446170931756,-0.0021422728461675078,0.0759393399262983,-0.0069745835675270925,-0.15638459776463126,-0.0021422728461675516,0.10980378118427431,-0.14539185633643828,0.11305185325389562,-0.013233702769506488,-0.2850671355737255,0.14086058150503844,0.004150261834051585,0.32432163008447934,0.3010100039976166,-0.09244970513171127,0.05497767641894732,0.001588187746226455,-0.09847652124054086,0.003980883942323275,0.1571135637172467,-0.28506713557372576,0.14086058150503994,0.10982883899735632,0.16036148032772643,0.0430769477743907,0.06049379592438741,0.035015012023633045
