,F25,F72,F104,F105,F101,F65,F68,F126,F41,F22,F94,F77,F110,F116,F115,F117,F120,F123,category
F25,1.0,0.997031872978552,0.09531255582772649,-0.22347391147419055,0.020368163080707265,0.43324347717138856,0.4690379461994123,0.19902274477983672,0.46120669877416776,0.20310860882311269,0.551486922496119,0.24493769831132706,-0.14723735721629422,-0.1997490522103326,-0.048226384913796126,-0.14776445160216975,0.11344663762581103,0.11344663762581103,-0.036575116048269816
F72,0.9970318729785519,1.0,0.09487141276392061,-0.22482122764395313,0.01929747399046811,0.44904799242722204,0.47254211531563434,0.21564051683801397,0.4689422049794165,0.20937704893962703,0.5562338297686992,0.24154912352815647,-0.14993800962982484,-0.19057680078634653,-0.04559615425160724,-0.15035017167258957,0.11411441593740095,0.11411441593740095,-0.03458033680294112
F104,0.09531255582772649,0.09487141276392061,0.9999999999999998,-0.17017111985758412,-0.06305609748384762,0.18095129242931096,0.05641026592550734,0.10361685981669372,0.05792423376875131,0.12158812250709312,0.08138452112780355,0.029294943545173008,0.1652882376707076,0.0701139174663292,0.08848574772954633,0.16884505948420475,0.008079081523296379,0.008079081523296379,0.0671080052467349
F105,-0.22347391147419055,-0.2248212276439531,-0.17017111985758412,1.0,0.02467825340174214,-0.47760667550346303,-0.05680632877176327,-0.4006650654625656,-0.3170687665268173,-0.11464077534614026,-0.2731253393893461,-0.14985211389121786,0.25967003671171623,0.44742113186830457,0.07148541441594472,0.2563558287126958,-0.23884172864893247,-0.23884172864893247,0.13135795471950082
F101,0.02036816308070727,0.019297473990468113,-0.0630560974838476,0.02467825340174214,1.0,-0.07164594911136296,-0.019690449985669524,-0.06325254995152654,-0.05485780119024573,0.11126889501842364,-0.043887611935272144,-0.07788879823273863,-0.03464379346937132,0.04948873449421298,-0.037650123142206365,-0.03968216311150025,0.12469042708005043,0.12469042708005043,-0.016748459345697693
F65,0.43324347717138856,0.4490479924272221,0.18095129242931093,-0.477606675503463,-0.07164594911136297,1.0,0.39530820720231163,0.7454101109343344,0.6103022142779094,0.12699404094650493,0.5836459190752185,0.15178638853307996,-0.1979973532459753,-0.24118023447852563,-0.07198417034699728,-0.19488473291756267,0.22292235877577482,0.22292235877577482,-0.054593131722106
F68,0.4690379461994123,0.4725421153156344,0.056410265925507345,-0.05680632877176327,-0.019690449985669524,0.39530820720231163,0.9999999999999998,0.19214082951197156,0.7367430503321947,0.308747070979665,0.8551047736917204,0.04375852054475459,-0.16997249595593783,-0.08311273928010804,-0.11462193000236222,-0.1747606332695463,0.21609943645637741,0.21609943645637741,-0.08692980821611934
F126,0.19902274477983672,0.215640516838014,0.1036168598166937,-0.4006650654625656,-0.06325254995152654,0.7454101109343344,0.19214082951197153,1.0,0.4442170284282098,-0.012392969250192534,0.3623194903451498,0.09252620600060092,-0.1303296026943849,-0.0043975226018243265,0.23228468595104323,-0.12765971194417525,0.05916708844500743,0.05916708844500743,0.1761657930628947
F41,0.4612066987741678,0.4689422049794165,0.05792423376875132,-0.3170687665268173,-0.05485780119024572,0.6103022142779094,0.7367430503321946,0.44421702842820987,1.0,0.21065783976277444,0.9580370756089228,0.1311162978851215,-0.14148713909589833,-0.1987677870854522,-0.047812246590466345,-0.14434848374329579,0.22142910332416701,0.22142910332416701,-0.03626103160542995
F22,0.20310860882311269,0.20937704893962703,0.12158812250709312,-0.11464077534614026,0.11126889501842364,0.12699404094650496,0.30874707097966503,-0.012392969250192534,0.2106578397627744,1.0,0.26069937027466367,0.11110774121331501,0.09471639519064222,0.011232731517387781,0.004328488452927327,0.09687938496057938,0.4493699233015548,0.4493699233015548,0.02322451285140085
F94,0.551486922496119,0.5562338297686991,0.08138452112780355,-0.2731253393893461,-0.043887611935272144,0.5836459190752185,0.8551047736917203,0.3623194903451498,0.9580370756089228,0.26069937027466367,1.0,0.09852486600683626,-0.1652370156129306,-0.20019851145728101,-0.09755636185058358,-0.16876174272242497,0.21992840967190408,0.21992840967190408,-0.07398720145227722
F77,0.24493769831132706,0.24154912352815644,0.029294943545173008,-0.14985211389121786,-0.07788879823273863,0.15178638853308,0.043758520544754584,0.09252620600060092,0.13111629788512152,0.11110774121331501,0.09852486600683626,0.9999999999999999,-0.12384263187918226,-0.16194207556014578,0.03804342641883286,-0.12822942893597578,0.23430956832935929,0.23430956832935929,0.021872091597527968
F110,-0.1472373572162942,-0.14993800962982484,0.1652882376707076,0.25967003671171623,-0.03464379346937132,-0.19799735324597534,-0.16997249595593783,-0.1303296026943849,-0.1414871390958983,0.09471639519064222,-0.1652370156129306,-0.12384263187918225,0.9999999999999999,0.530781218200595,0.3330938098019005,0.9935698679106907,0.016762911843732794,0.016762911843732794,0.4358329145818026
F116,-0.1997490522103326,-0.19057680078634653,0.0701139174663292,0.44742113186830457,0.04948873449421298,-0.24118023447852563,-0.08311273928010803,-0.0043975226018243265,-0.1987677870854522,0.011232731517387781,-0.20019851145728101,-0.16194207556014578,0.5307812182005949,0.9999999999999998,0.5752968332326559,0.5355992177193246,-0.122650518601667,-0.122650518601667,0.6753030641228691
F115,-0.04822638491379612,-0.04559615425160724,0.08848574772954634,0.07148541441594472,-0.037650123142206365,-0.07198417034699728,-0.11462193000236222,0.2322846859510432,-0.04781224659046634,0.004328488452927328,-0.09755636185058358,0.03804342641883287,0.33309380980190056,0.5752968332326558,1.0,0.3363431387987147,-0.01680117899208783,-0.01680117899208783,0.7584046806254962
F117,-0.14776445160216972,-0.1503501716725896,0.16884505948420472,0.2563558287126958,-0.03968216311150025,-0.19488473291756267,-0.1747606332695463,-0.12765971194417525,-0.14434848374329579,0.09687938496057938,-0.16876174272242497,-0.12822942893597578,0.9935698679106908,0.5355992177193246,0.3363431387987147,1.0,0.01648811399555989,0.01648811399555989,0.43865351462226354
