,F25,F72,F104,F105,F101,F65,F68,F126,F41,F22,F94,F77,F110,F116,F115,F117,F120,F123,category
F25,1.0,0.9893818919946405,0.07467767173906562,0.22343048378137048,0.03543147213842976,-0.4612784910949803,-0.20005261924400652,-0.2566717578115047,-0.17360176800581628,-0.067279220947443,-0.211774148712451,0.23962592855148787,-0.05389440440451381,-0.00501465735846941,-0.09333644196825708,-0.053894404404513784,0.09195767705189979,0.09195767705189979,-0.07021755434149439
F72,0.9893818919946407,1.0,0.028609123137619,0.2120219480384684,0.0288781375546462,-0.4398963316129789,-0.17797817957200582,-0.27193932560362116,-0.1600104334809933,-0.0530882948152864,-0.17687301840109082,0.248589049710237,-0.06041453864222694,-0.009919160405357985,-0.09332948293273537,-0.06041453864222693,0.09605856949164429,0.09605856949164429,-0.07158636779923311
F104,0.0746776717390656,0.028609123137619003,1.0,0.09852694594488144,-0.002532122745324074,-0.13990533631880192,-0.12652039894198094,0.14114758008922312,-0.09427191356197058,-0.07758394755446513,-0.27548011099886294,-0.17712139075277614,0.1153764057801847,0.10849301427559402,0.11038157800722066,0.11537640578018467,-0.012950234379446722,-0.012950234379446722,0.08020663706991918
F105,0.22343048378137048,0.21202194803846844,0.09852694594488143,1.0,0.03450004440945266,-0.18266764489029624,-0.08548601840781464,-0.08192270510766912,-0.056803472987898444,-0.01842060187950916,-0.12088518762411414,0.24502472357679253,0.06640864301259676,0.12392954275749972,-0.01773892688258855,0.06640864301259677,0.16208861493711024,0.16208861493711024,-0.031754863799739005
F101,0.03543147213842976,0.0288781375546462,-0.002532122745324074,0.03450004440945267,0.9999999999999998,-0.15150831489402836,-0.029072034228915737,-0.07626855475216193,-0.003848984216948351,0.03464754756049451,-0.09088853372149594,-0.08951450913089604,-0.014249448948598517,-0.031635147556210226,0.034566132600192534,-0.014249448948598566,0.0036277627490565612,0.0036277627490565612,0.032605847303100344
F65,-0.46127849109498026,-0.439896331612979,-0.13990533631880192,-0.18266764489029624,-0.15150831489402833,1.0,0.14868958317734932,0.5211495282483757,-0.0023852439058597475,0.08182003087037808,0.3128096729693538,-0.016414962916029056,-0.044670015316826545,-0.11508904084123123,-0.06673473871743807,-0.044670015316826565,-0.03153899588496467,-0.03153899588496467,-0.04984178651059012
F68,-0.2000526192440065,-0.17797817957200582,-0.12652039894198094,-0.08548601840781464,-0.029072034228915737,0.14868958317734932,1.0,-0.08657606022494685,0.8197013219439032,0.11586585037816871,0.7855953130798528,0.04630573544742067,-0.10019529096701593,-0.08723261178800665,-0.12022464961373203,-0.1001952909670159,0.10027612371181165,0.10027612371181165,-0.09416849858943926
F126,-0.2566717578115047,-0.27193932560362116,0.14114758008922312,-0.08192270510766912,-0.07626855475216193,0.5211495282483757,-0.08657606022494685,1.0,-0.12493917559415764,-0.06110606763106745,-0.0285929302914519,-0.1839828692973313,0.0704256936589546,0.00993445621120283,0.09061528559806643,0.0704256936589546,-0.07311581127913534,-0.07311581127913534,0.07081881139201694
F41,-0.17360176800581628,-0.16001043348099328,-0.09427191356197058,-0.056803472987898444,-0.0038489842169483514,-0.002385243905859748,0.8197013219439031,-0.12493917559415764,1.0,0.08780820157119468,0.5074842460626704,-0.0032211396517109964,-0.10218760217559182,-0.00459563368239337,-0.010043686827404042,-0.10218760217559189,0.029791672833709665,0.029791672833709665,-0.008756041790100123
F22,-0.06727922094744301,-0.05308829481528641,-0.07758394755446513,-0.01842060187950916,0.03464754756049451,0.08182003087037808,0.11586585037816872,-0.06110606763106745,0.08780820157119468,1.0,0.10940090162011662,0.03995456137172886,-0.18493206235652584,-0.11310489186781607,-0.09497310955831989,-0.18493206235652596,0.241641501922773,0.241641501922773,-0.08789831900452443
F94,-0.21177414871245098,-0.17687301840109082,-0.27548011099886294,-0.12088518762411413,-0.09088853372149594,0.3128096729693538,0.7855953130798529,-0.0285929302914519,0.5074842460626704,0.10940090162011662,1.0,0.10035690343585152,-0.13504497244239885,-0.11596721017345159,-0.17411522848265126,-0.13504497244239883,0.12006616522715712,0.12006616522715712,-0.13738426716259483
F77,0.2396259285514879,0.248589049710237,-0.1771213907527761,0.24502472357679253,-0.08951450913089604,-0.016414962916029056,0.04630573544742068,-0.18398286929733126,-0.003221139651710997,0.03995456137172886,0.10035690343585152,1.0,-0.16858350527357469,-0.21570413277755723,-0.30290926473410484,-0.1685835052735748,0.14814727462745714,0.14814727462745714,-0.2645839020710857
F110,-0.053894404404513804,-0.06041453864222695,0.11537640578018471,0.06640864301259675,-0.014249448948598517,-0.044670015316826545,-0.10019529096701593,0.0704256936589546,-0.10218760217559182,-0.18493206235652582,-0.13504497244239885,-0.16858350527357469,0.9999999999999998,0.4459862595625017,0.4830587321970914,1.0,0.13868315782218527,0.13868315782218527,0.5066212035734147
F116,-0.00501465735846941,-0.009919160405357985,0.10849301427559402,0.12392954275749972,-0.031635147556210226,-0.11508904084123121,-0.08723261178800665,0.00993445621120283,-0.00459563368239337,-0.11310489186781607,-0.1159672101734516,-0.21570413277755726,0.4459862595625017,1.0,0.6044688023353042,0.44598625956250176,0.10977454945452386,0.10977454945452386,0.7404312424519591
F115,-0.09333644196825709,-0.09332948293273538,0.11038157800722066,-0.01773892688258855,0.03456613260019254,-0.06673473871743807,-0.12022464961373201,0.09061528559806643,-0.010043686827404042,-0.09497310955831988,-0.17411522848265126,-0.3029092647341049,0.48305873219709133,0.6044688023353042,1.0,0.48305873219709156,0.005302352565583249,0.005302352565583249,0.7682995183940662
F117,-0.053894404404513784,-0.06041453864222693,0.11537640578018468,0.06640864301259677,-0.014249448948598566,-0.044670015316826565,-0.1001952909670159,0.07042569365895458,-0.10218760217559189,-0.18493206235652596,-0.13504497244239883,-0.1685835052735748,1.0,0.4459862595625018,0.48305873219709156,1.0,0.1386831578221853,0.1386831578221853,0.5066212035734147
F120,0.09195767705189979,0.0960585694916443,-0.01295023437944672,0.16208861493711021,0.003627762749056561,-0.03153899588496467,0.10027612371181166,-0.07311581127913534,0.029791672833709665,0.241641501922773,0.12006616522715712,0.14814727462745714,0.13868315782218527,0.10977454945452386,0.00530235256558325,0.1386831578221853,1.0,1.0,0.07025982833123724
F123,0.09195767705189979,0.0960585694916443,-0.01295023437944672,0.16208861493711021,0.003627762749056561,-0.03153899588496467,0.10027612371181166,-0.07311581127913534,0.029791672833709665,0.241641501922773,0.12006616522715712,0.14814727462745714,0.13868315782218527,0.10977454945452386,0.00530235256558325,0.1386831578221853,1.0,1.0,0.07025982833123724
category,-0.0702175543414944,-0.07158636779923311,0.08020663706991916,-0.031754863799739005,0.032605847303100344,-0.04984178651059012,-0.09416849858943928,0.07081881139201693,-0.008756041790100123,-0.08789831900452443,-0.13738426716259483,-0.26458390207108573,0.5066212035734147,0.7404312424519591,0.7682995183940662,0.5066212035734148,0.07025982833123723,0.07025982833123723,1.0
