,F23,F25,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F61,F62,F64,F65,F66,F67,F68,F69,F70,F72,F73,F74,F77,F79,F83,F84,F88,F94,F95,F101,F102,F103,F104,F105,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,category
F23,0.9999999999999999,0.03373097644351817,-0.07024388472612021,-0.011151459991931222,0.017194330643065345,-0.023226344024802916,-0.00828157163145922,-0.014514297931197849,-0.058118990309740895,0.005134007843216259,-0.05257764736816545,-0.01531011651307666,-0.013523735982259966,0.028676876450452412,-0.10644440734861003,-0.06407292815269228,-0.16201525745487216,-0.055258036921359915,-0.10841025142802026,-0.050059460108207,-0.004588066381582642,-0.041104593536336685,-0.15098882930515983,0.04348296677759266,0.029610017657608914,,0.08208606713448306,0.04348296677759266,-0.11882442598375466,0.08210088452909005,0.035212200909713776,0.05366020969692428,-0.018673800775789243,-0.04779951452595106,-0.004608296473549862,-0.10019729562636093,-0.1694593422592128,-0.0658705751131765,0.07070205688913493,-0.09302341590157552,0.13483105198805584,0.47685049070439006,-0.11972902408374714,-0.018673800775789215,-0.04779951452595097,-0.12518033681826884,-0.06599557417464161,-0.09089984742665722,-0.19044160921475936,-0.2154791009786627
F25,0.03373097644351817,1.0,0.022414651045411103,0.09909164026769296,-0.015143852137272493,0.012835260235546916,0.08983167812036554,0.10325594787994392,0.06097308123054414,0.10556126811480172,-0.13857450652670977,0.1074392822589846,0.04286712951294502,0.1752274079572174,0.0905263157736875,0.15470607046678872,0.025429085569153808,-0.15797322288952717,0.0875153909771012,-0.1476977388731117,-0.007296319006288789,-0.15916390759381938,0.044116985573110196,0.3991115820018474,0.9982809015187631,,0.16179497236852977,0.3991115820018474,-0.026104220230855093,0.16179388714360024,0.05750017850344542,0.40692969869925877,-0.1434689193991897,0.09763312079714934,0.03555056935088813,0.07731583177798725,-0.05236578292511104,-0.04610209691216102,-0.037195444065611184,0.045589282441804005,-0.0002265027587513074,0.07254683807157761,0.03472447326749352,-0.14346891939918993,0.09763312079714946,-0.015515774448748576,0.07512464289477515,0.047984244761787566,0.07362963272818213,0.06354890214775007
F34,-0.07024388472612021,0.022414651045411103,1.0,0.005665000584337695,0.0011203687604464745,0.06248226155275891,0.007804917584448801,0.005531978155098804,0.04254946541929157,0.03755966549215724,-0.07556537838866337,0.09157490528953056,0.008197255610097117,0.07389353015096507,0.08857125222324279,0.11486951381105681,-0.05820969639256615,-0.03549411587783365,0.06912210413806873,-0.08222987150290477,0.2060548118013063,-0.03455581196055533,-0.03753201857309902,-0.0027611311151380926,0.026045678192950325,,-0.06005366035115561,-0.0027611311151380926,0.0004068849703030583,-0.060051156230560114,-0.04733553360137607,-0.005887364952323581,-0.06176013130028978,0.12823576588526164,0.048676564349531506,0.10865039850133933,0.0642612991086401,-0.087089321471816,-0.4385489804419575,-0.10200345378182601,-0.07152377712004845,-0.19059959365569848,0.030738918811271422,-0.061760131300289844,0.12823576588526145,0.00022792054805806407,-0.06335998589491391,0.015389584815214956,0.017589460705353128,0.02680227018940175
F35,-0.011151459991931222,0.09909164026769297,0.005665000584337695,0.9999999999999998,0.1637950859423642,0.7792708188970758,0.9852220969727712,0.982866544677061,0.5888480043759202,0.36611454135692,0.002289742375336229,0.3282652719900692,0.30555758157686974,0.39540647722731165,0.2206568304185141,0.086317667170359,-0.007135565042049583,-0.010115287637384868,0.12376408469407525,-0.011468229351013786,0.10252110906203847,-0.01655252311113132,0.0007783903274902494,-0.009039572629547061,0.10635141577839378,,-0.135011632350309,-0.009039572629547061,0.07746905877633235,-0.13502359134442946,-0.05700688313783497,-0.014346218931186747,-0.02136265789406959,0.07852603470402796,-0.04988294407588169,0.1336632815627341,0.1377697108867914,-0.04951275231733118,-0.004073213732994913,-0.0257735376832643,-0.013214480062850689,-0.005825813577417837,-0.039751249281082,-0.02136265789406966,0.07852603470402733,0.08032054876042431,-0.03656649274236841,-0.02990989178354589,-0.013788017373423153,0.011684248600759608
F36,0.017194330643065345,-0.015143852137272493,0.0011203687604464745,0.1637950859423642,1.0,0.15132044740549383,0.32872786803017384,-0.02084057784080418,0.35096542480421056,0.09201525158059384,0.21824002061855263,0.08111674411128748,0.1480484276669327,0.0036717276320324937,0.10346316352952552,0.31336634183899575,0.016991343411253367,0.10149265098053191,0.18660052537324065,0.08940485322447839,0.2691742683762521,0.08354355995849168,0.015046079173511922,-0.03796726459475493,-0.009242283228146221,,-0.27489219678667864,-0.03796726459475493,-0.01922939133353245,-0.2749168708836327,-0.1338307973689252,-0.039131384146170727,0.06506676518542838,0.23710616175675361,-0.09402113544824696,0.3859676258781302,0.20845469693687688,-0.1840836833840765,0.05507895135969221,-0.05322063812795107,-0.039137672669488574,-0.01819086233590779,0.032098576011732514,0.06506676518542816,0.23710616175675367,-0.02366901511959461,-0.04868289573418376,-0.050906170894182264,-0.05402872049154295,-0.025889447239718894
F37,-0.02322634402480292,0.012835260235546916,0.06248226155275892,0.7792708188970758,0.15132044740549383,1.0,0.7866219588359141,0.7614948505381472,0.5738850815518935,0.31811453520102745,0.012574174694137403,0.4120073368714488,0.2726370110570772,0.3389121248004742,0.4123317728067533,0.1606324990322169,0.009820313949586247,0.0458274289016371,0.017266919167434912,-0.010705211259045512,0.24545875680616647,-0.013019923395381166,0.020795727042957513,-0.025341467330603187,0.016240335303414524,,-0.09998793143778936,-0.025341467330603187,0.030386506193179102,-0.09999676567255729,-0.03736080834606896,-0.03191022768318818,-0.029056604388848505,0.047325169315566684,-0.028188934665128257,0.16454935382332372,0.11303603634778747,-0.05131646739042726,0.020366304929604586,-0.03106594794447716,-0.023443815683104205,-0.027270390307688935,-0.0004417257941707284,-0.029056604388848592,0.04732516931556507,0.03346068598583802,-0.025314064392840854,-0.02931454308310388,-0.041837342615275705,-0.008995328010818288
F38,-0.00828157163145922,0.08983167812036554,0.007804917584448801,0.9852220969727712,0.3287278680301739,0.786621958835914,1.0,0.9370732003826304,0.6280196886935421,0.3674237273966944,0.039928560370372734,0.3339850632894012,0.31910733218622556,0.38027450665071016,0.23797991483390682,0.1397471849429143,-0.0033435754412353197,0.009704122002387173,0.14739828110024336,0.0042484497223849605,0.15042204848951532,-0.0015586820851180563,0.004080369587209779,-0.015837283997217705,0.09770525930100729,,-0.17605682744648016,-0.015837283997217705,0.06973345065882716,-0.17607247683688423,-0.07719244107719017,-0.021207760735004567,-0.009787003626455968,0.11519910505858867,-0.0634273806209767,0.1962408627279029,0.1677439836517729,-0.07936155393843276,0.006410406408051006,-0.03418819274129839,-0.01983939144784285,-0.009545578277977189,-0.0314076693389383,-0.009787003626455905,0.11519910505858814,0.0717356651169332,-0.04320878065075845,-0.03756396314105084,-0.023612551801342484,0.006072982057224677
F39,-0.01451429793119785,0.10325594787994394,0.005531978155098805,0.982866544677061,-0.02084057784080418,0.7614948505381474,0.9370732003826303,1.0,0.5312048983728103,0.353853915987862,-0.03845582495324547,0.3175311029891664,0.28201187958290835,0.40004670893026817,0.20429788711211602,0.02893038959542425,-0.010406380910343125,-0.029214638227380227,0.09056640750576773,-0.028327295734641773,0.053609034786913284,-0.03238494072694949,-0.002022364627869171,-0.0020674576399124377,0.10951085394637099,,-0.08546886747319049,-0.0020674576399124377,0.08210545306880583,-0.08547637740053769,-0.032769566589795844,-0.007228079866562927,-0.03380762766910042,0.035282408813775666,-0.0329877840551054,0.06334879400440425,0.1006774163980106,-0.01578513537336674,-0.01441914506937197,-0.016176863659301478,-0.006079921115740027,-0.0025054714886894023,-0.04628407610521444,-0.03380762766910037,0.03528240881377503,0.08582486200050223,-0.027963044684115177,-0.020801375691752784,-0.003878910402708046,0.01667887672569644
F40,-0.058118990309740895,0.060973081230544145,0.04254946541929157,0.5888480043759202,0.3509654248042105,0.5738850815518934,0.6280196886935421,0.5312048983728103,0.9999999999999998,0.2210695100888651,0.02135229459384136,0.2869427691106529,0.19361512948402115,0.2299762251619508,0.6797513126580511,0.21817878629671678,0.05312796946221656,-0.017311003635782977,0.24145029609011517,-0.047941014464738786,0.1762015740872054,-0.055887417374926925,0.05444368487561535,-0.04275350615404442,0.06653472030284868,,-0.24876253382258592,-0.04275350615404442,0.023142056403394434,-0.24878458587644528,-0.11571855745988797,-0.04598573499982621,-0.06290899216893178,0.17757594645368618,-0.04144693623857021,0.26116994108574726,0.295384879811091,-0.048131967569654384,-0.003830294842592136,-0.04841820312198426,-0.06675042326271756,-0.03184157532612986,0.017597076462310755,-0.06290899216893188,0.1775759464536856,0.02839011805086368,-0.05724739256454262,-0.05320141674711001,-0.0453734868881155,-0.025897325139766416
F41,0.005134007843216258,0.10556126811480172,0.03755966549215724,0.36611454135692006,0.09201525158059386,0.3181145352010274,0.3674237273966944,0.3538539159878619,0.2210695100888651,1.0,0.3840667454435907,0.8007579446838795,0.9555655871696977,0.9138862612545293,0.12855611704309183,-0.02269322914811151,-0.03010099657993577,0.3855872690184103,-0.04482374333587064,0.3579698588821951,0.02149957813536723,0.3622919257565138,-0.04160301747725074,-0.06390486793537273,0.11089675603948618,,-0.009676243741900166,-0.06390486793537273,-0.005919658748931488,-0.009668406123935366,-0.18653440318115327,-0.06129162203068112,0.3330861591190383,-0.029822731010833638,-0.036105850503994265,-0.001455130221468296,-0.04817889433036662,-0.11388008821560273,-0.03520627670522355,-0.051470741257044754,-0.16354842604131042,0.010713863977683594,-0.03385345820703359,0.33308615911903905,-0.029822731010834443,-0.00430759611769336,0.025251795081952078,0.024148085993309604,0.00545015148105229,0.09198991083228861
