,F25,F72,F104,F105,F101,F65,F68,F126,F41,F22,F94,F77,F110,F116,F115,F117,F120,F123,category
F25,1.0,0.9901780067429258,0.143038603793742,-0.19763772975526422,0.07904750449614187,-0.018479191728788882,-0.07101114075804282,0.08268175894479503,-0.1825284316392446,-0.0899180378459856,0.038327184039723815,0.46739580035053047,0.2817354658070558,0.18625592196418858,0.3859801283062022,0.30843792382732504,0.06315738030689017,0.06315738030689017,0.17926906500852946
F72,0.9901780067429258,1.0,0.15164108605952312,-0.2028634242146548,0.08561466018837813,-0.027625833580648563,-0.06950453647595703,0.08475342937236442,-0.18233152646173578,-0.09159583287582913,0.03155667074046538,0.47785817488084564,0.29162405540570935,0.1885625119402852,0.39987667513383085,0.31808718945314257,0.0685210257391877,0.0685210257391877,0.1824512488991148
F104,0.14303860379374203,0.15164108605952312,1.0,-0.020432721577568924,0.18647894294071893,-0.16413306745250444,0.07989495881141652,-0.08662354770311032,0.032054536303241406,-0.002225224516881292,-0.09435041342411535,0.1344562060579193,0.026625658251686512,-0.012228738943554394,0.13661100781342284,0.03206689398173684,-0.023510921696672828,-0.023510921696672828,-0.05230295078588088
F105,-0.19763772975526425,-0.20286342421465484,-0.020432721577568924,1.0,-0.09900277117525896,-0.10237597550550283,0.0877413620621915,-0.05282346560598625,0.13356011534173953,0.08548216169925948,0.01261440977424926,-0.1116405029939246,-0.178647471238776,0.00657805018076906,-0.18761856849837683,-0.17903133597390086,-0.22741640124939957,-0.22741640124939957,-0.07929793350661044
F101,0.07904750449614185,0.08561466018837813,0.18647894294071893,-0.09900277117525896,1.0,-0.13535722030884056,0.024064777502539464,0.035254145947568455,-0.005861624971898806,0.08982321367492653,0.0015558427635512764,-0.006007578084797113,0.06785606403116286,-0.022992748181839842,0.11021789707306125,0.05250616156488975,0.17970671469136398,0.17970671469136398,0.001206228988042571
F65,-0.018479191728788882,-0.027625833580648563,-0.16413306745250444,-0.10237597550550281,-0.13535722030884054,0.9999999999999998,0.074891950856422,0.180095283587443,0.06689863160174715,-0.1372073818367204,0.14796406496899617,0.11418978168246853,0.09754343781849248,0.11888197462173278,0.08250038026872743,0.10268519432697769,-0.039046429479409395,-0.039046429479409395,0.12250931587180522
F68,-0.07101114075804282,-0.06950453647595702,0.07989495881141652,0.0877413620621915,0.02406477750253946,0.074891950856422,1.0,-0.0062681086562980295,0.8292743597043104,0.0006187248583916954,0.6829935928330815,0.008194574036967578,0.1626421314343008,0.10873688408312016,0.24297348549175854,0.14616487188483804,0.08164652840526825,0.08164652840526825,0.1015885293990124
F126,0.08268175894479503,0.08475342937236442,-0.08662354770311032,-0.05282346560598625,0.035254145947568455,0.180095283587443,-0.0062681086562980295,0.9999999999999998,-0.015656749060647998,-0.012057019180800911,0.05264703739521954,0.10479553280457848,0.08316839285761236,0.026455276836971152,0.016339712498877154,0.08487511820034946,0.02448879421829802,0.02448879421829802,0.02565984523982303
F41,-0.1825284316392446,-0.18233152646173578,0.032054536303241406,0.13356011534173953,-0.005861624971898806,0.06689863160174715,0.8292743597043104,-0.015656749060647998,0.9999999999999999,0.045039545318432114,0.583019734185831,-0.09575697518208282,0.008207336636463053,0.02654453715795667,-0.06308997734951823,-0.02041102130955848,0.019459175970989933,0.019459175970989933,0.032042934974400195
F22,-0.0899180378459856,-0.09159583287582913,-0.002225224516881292,0.08548216169925948,0.08982321367492652,-0.13720738183672043,0.0006187248583916954,-0.012057019180800911,0.045039545318432114,1.0,0.0067588149337820995,-0.020854462568081975,-0.10306154537394187,-0.050569424702634404,-0.14008853979824037,-0.12500101420228374,0.2041362512876398,0.2041362512876398,-0.07553730424045314
F94,0.03832718403972381,0.03155667074046537,-0.09435041342411535,0.012614409774249258,0.0015558427635512764,0.14796406496899617,0.6829935928330814,0.05264703739521954,0.583019734185831,0.0067588149337820995,1.0,0.13218528542602015,0.20869927627858806,0.21395375712116815,0.057358771694213724,0.20940395254230834,0.10835434692502635,0.10835434692502635,0.20389334558514813
F77,0.4673958003505305,0.4778581748808457,0.1344562060579193,-0.11164050299392461,-0.006007578084797113,0.11418978168246853,0.008194574036967576,0.1047955328045785,-0.09575697518208282,-0.020854462568081975,0.13218528542602012,1.0,0.20627609907702527,0.18404071421704246,0.2748520624580482,0.23272421401664034,0.03620392885043994,0.03620392885043994,0.20478668960022517
F110,0.2817354658070558,0.29162405540570935,0.026625658251686512,-0.178647471238776,0.06785606403116286,0.09754343781849248,0.16264213143430079,0.08316839285761236,0.008207336636463053,-0.10306154537394188,0.20869927627858806,0.20627609907702527,1.0,0.4604701596888917,0.5840002151202665,0.9837880770584586,0.24376676707363276,0.24376676707363276,0.4865702245617756
F116,0.18625592196418855,0.18856251194028523,-0.012228738943554395,0.00657805018076906,-0.022992748181839842,0.11888197462173276,0.10873688408312016,0.026455276836971155,0.026544537157956672,-0.0505694247026344,0.21395375712116818,0.18404071421704243,0.4604701596888917,1.0,0.34395903393332056,0.45895551665384693,0.04540347693214882,0.04540347693214882,0.8063618672621047
F115,0.38598012830620226,0.39987667513383085,0.13661100781342284,-0.18761856849837683,0.11021789707306125,0.08250038026872743,0.24297348549175854,0.016339712498877154,-0.06308997734951824,-0.14008853979824035,0.057358771694213724,0.2748520624580482,0.5840002151202665,0.34395903393332056,1.0,0.6120292516996169,0.2273973438348333,0.2273973438348333,0.3144443013486029
F117,0.3084379238273251,0.31808718945314257,0.03206689398173684,-0.17903133597390086,0.05250616156488975,0.10268519432697767,0.14616487188483807,0.08487511820034946,-0.02041102130955848,-0.12500101420228374,0.20940395254230834,0.23272421401664034,0.9837880770584586,0.4589555166538469,0.6120292516996167,1.0,0.20714269680961261,0.20714269680961261,0.4836241575506654
F120,0.06315738030689017,0.0685210257391877,-0.023510921696672828,-0.22741640124939955,0.17970671469136398,-0.039046429479409395,0.08164652840526825,0.02448879421829802,0.019459175970989933,0.2041362512876398,0.10835434692502635,0.03620392885043994,0.24376676707363276,0.04540347693214882,0.2273973438348333,0.2071426968096126,1.0,1.0,0.11148081278723307
F123,0.06315738030689017,0.0685210257391877,-0.023510921696672828,-0.22741640124939955,0.17970671469136398,-0.039046429479409395,0.08164652840526825,0.02448879421829802,0.019459175970989933,0.2041362512876398,0.10835434692502635,0.03620392885043994,0.24376676707363276,0.04540347693214882,0.2273973438348333,0.2071426968096126,1.0,1.0,0.11148081278723307
