,F23,F25,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F61,F62,F64,F65,F66,F67,F68,F69,F70,F72,F73,F74,F77,F79,F83,F84,F88,F94,F95,F101,F102,F103,F104,F105,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,category
F23,1.0,0.09847953076501627,0.03735262592297514,-0.04836775663237243,-0.07200817954326208,-0.009581061313692957,-0.05889005356770602,-0.021440666106627412,0.022493043905770376,-0.07852339842953807,-0.035193990096624446,-0.1325972069781981,-0.058873864199481575,-0.04706897572510224,0.044758046825261584,-0.09567880084931916,-0.03301778489964834,-0.09426944722663853,-0.040994335159236825,-0.07049568473227726,0.025784494353044963,-0.08290175839171585,-0.061757257829422436,0.04834970838350853,0.10291149258798717,,-0.015178385906929534,0.04834970838350853,-0.12673043939615927,-0.00705445247146606,-0.0193487533616519,0.04116489008512902,-0.09780092418957191,-0.07447962596289451,0.034631026229495765,-0.11194995540237619,-0.04704564138742044,0.009563863101226613,0.026517967070771357,0.021654975277343218,-0.014466180439604771,0.3092385148158906,0.007453948469996738,-0.09780092418957205,-0.07447962596289419,-0.12690434730072508,-0.01671411855765355,0.031191606647641448,0.09733989435977379,0.03719730123880591
F25,0.09847953076501627,1.0,0.11570116956655743,-0.12125785856014423,-0.22493119733839334,-0.18000113567663184,-0.18054237048976401,-0.03348824482699328,0.03370219885159864,-0.14311475849268845,-0.06585214468367002,-0.22824079117510457,-0.1076886877780073,-0.08181945514515407,0.04834089193045089,0.02349518528993375,0.06897774083244435,0.14873439953314138,0.022019287028857044,-0.056858436975853584,-0.07004082623663949,0.003664419947262131,0.0924725642588566,0.6594646868217431,0.9892777888840333,,0.05257809796509221,0.6594646868217431,-0.13946535906063723,0.014906215542562558,-0.06157336838208972,0.656925907831528,0.12294693714659172,0.1697096054054623,-0.05771401046980288,0.10427641452938446,0.03000459648488176,0.04238636073258763,-0.016255141759782123,0.060404471941664505,0.013158509891692075,0.13567227452464783,-0.02886248607787294,0.12294693714659129,0.16970960540546232,-0.1418126445137175,-0.2528255099441832,-0.18156980614169876,-0.07956894064675323,-0.14587967781417788
F34,0.03735262592297514,0.11570116956655745,1.0,-0.04213175996034047,-0.0805937795753328,-0.04043009581105641,-0.06070431488193245,-0.01052223516018871,0.016514659193641347,-0.08564484928658339,-0.040637271349844156,-0.14973393835845317,-0.0657578949059901,-0.04610958996298794,-0.08736360806650453,-0.0364248866907752,0.20774499879352945,-0.08177526758759968,-0.07061084017699165,-0.07986033513117372,-0.003995042456461928,-0.15178104991955996,0.2106828452193305,0.05910346350320163,0.11910620547341345,,0.006827379463387396,0.05910346350320163,-0.08054623811414516,-0.011342578810503429,0.03824100452528193,0.05422272990750551,-0.13949134755295986,-0.05832385581586441,-0.03162778882430362,-0.02947220606044243,-0.03051490294068341,-0.0007102234661290962,-0.5586858742683957,0.22979668080640397,0.021758614863934565,-0.16550175877064538,0.00452844430307947,-0.13949134755296022,-0.058323855815864065,-0.08330173956011874,0.031137279864101704,0.015108937312742217,0.07956469188849377,0.03941704794967074
F35,-0.04836775663237243,-0.12125785856014423,-0.042131759960340465,1.0,0.45729304684940064,0.40256937877172144,0.9315430016892483,0.9139587209013387,0.22409001696213887,0.6120233609067459,0.5637919609487001,0.38497692303022296,0.5982166017216203,-0.3053549755622993,0.31617871086866933,0.32442684780796327,0.002880124826694535,-0.03502258278928472,0.06631355810971468,0.08558905623000582,0.18008039761476632,0.21497866985727418,0.0076479314019868554,-0.09539193520532686,-0.14442436265886277,,-0.18175308385003155,-0.09539193520532686,0.03247931505101662,-0.17614510635273908,-0.029608598376629682,-0.07900680375020008,0.19316706699379682,0.08700419718990762,-0.01844301563490356,0.18535367977071646,0.19847254697030592,-0.04614732739582736,0.013332554314896296,0.05212515544389932,-0.018878581167063667,-0.03956671685787445,0.023152877935922,0.19316706699379696,0.08700419718990773,0.0341202263100431,0.049709203280699416,0.1550886681462324,0.11542917268812952,0.12949205221854007
F36,-0.07200817954326208,-0.22493119733839337,-0.0805937795753328,0.4572930468494006,1.0,0.8065012295315057,0.742654007323285,0.05705613426766989,0.2723353298330045,0.468545839640158,0.22591445679601105,0.7585949277770232,0.3590959415570082,0.2439058329033537,0.31889312141344633,0.505407124596343,-0.04512473901472972,-0.04503754577633388,0.06274845313588412,0.19072548109886872,0.3902605597729034,0.40581024222045603,-0.04041040404716286,-0.15881253981752105,-0.2503998144087821,,-0.23192127886214567,-0.15881253981752105,0.08031629777592583,-0.22487550344308796,-0.061639640548951755,-0.1396851503555382,0.37329895404681157,0.22746260583364322,-0.015828743684967252,0.2466559537868603,0.17424630932876353,-0.10674342211111301,0.04060005581714859,-0.030353850297094653,-0.015900542959954907,-0.06181918422013002,-0.02917396368726902,0.3732989540468115,0.22746260583364322,0.08116247828567415,0.08689616725863258,0.11058157609241767,0.0872044258741047,0.1061804283537835
F37,-0.009581061313692957,-0.18000113567663184,-0.0404300958110564,0.4025693787717214,0.8065012295315057,1.0,0.6677219364275033,0.0839179744585173,0.14524128585022256,0.3016443407860262,0.14370773111282323,0.49261967904412146,0.23036384570780505,0.1610487918467433,0.19886477876334205,0.19959287933928113,-0.021821764393242737,-0.02052546126717186,0.011431264832979383,0.12335776590843414,0.3151332770062681,0.2646726956707794,-0.02053894531875567,-0.18417737775011983,-0.1970963543307659,,-0.1315463837530307,-0.18417737775011983,0.004758203478726839,-0.12756110323590408,-0.042820882465465816,-0.16479722202125113,0.2515736943022732,0.12462074341503622,-0.012358410269634749,0.12449229260828838,0.03362954213092563,-0.0834327238852313,0.016427837057250365,-0.02661468750893435,-0.0030296739780989014,-0.011471943186929583,-0.03859433865791141,0.25157369430227344,0.12462074341503622,0.004150649369113211,0.05381507149196567,0.06802447546503007,0.06838320196199883,0.08213212609509397
F38,-0.05889005356770602,-0.18054237048976401,-0.06070431488193246,0.9315430016892483,0.742654007323285,0.6677219364275032,0.9999999999999998,0.7068928538357954,0.2669328058728775,0.6340204901288158,0.5051557340575088,0.5767746343137097,0.581793570728389,-0.13311511679636412,0.35612870825500764,0.41868582365014073,-0.014216671361522307,-0.04219424221842101,0.0696600588616863,0.13662626916780746,0.29107858918129736,0.31540293875215364,-0.009089386568118063,-0.14187176390072884,-0.20758675561367632,,-0.22155329762792594,-0.14187176390072884,0.04898998604361618,-0.21475974885349394,-0.04597185555289679,-0.12149653200902684,0.28773752589070417,0.14893220844259086,-0.020030644453677356,0.2277980667130486,0.20432086354808607,-0.07696062258096249,0.02422375120095563,0.026240456012649967,-0.019210253878152322,-0.049508597700900166,0.003570222002029849,0.2877375258907043,0.1489322084425912,0.050389032476465194,0.06991147106769134,0.15714992445107043,0.12066226095462368,0.13856237842626104
F39,-0.021440666106627412,-0.03348824482699329,-0.01052223516018871,0.9139587209013387,0.057056134267669895,0.08391797445851731,0.7068928538357954,1.0,0.12729932978121467,0.47327054244024125,0.5298406710474063,0.08602849906143942,0.5077141857466908,-0.45409758476951123,0.20943569946615162,0.13358637988017086,0.02382434801597147,-0.018766074031186547,0.04581246301071943,0.009053993794842556,0.02408200002517976,0.056164237621153634,0.0270256044311376,-0.03462129309510171,-0.04787392651840835,,-0.0982121981474938,-0.03462129309510171,-0.0001872494002093352,-0.09513161084834885,-0.005112420001062613,-0.024954979621580192,0.0465132735618187,-0.006120985410604979,-0.013481769019801056,0.09553069230418615,0.14329981552793208,-0.003097781000397767,-0.0035588678982959913,0.07236803019986625,-0.013937984012189729,-0.016209752737950528,0.03930454653556435,0.046513273561818815,-0.006120985410605095,0.0012687594357355806,0.01615301767063481,0.12364695994479999,0.08979142195820404,0.09691979074677819
F40,0.022493043905770376,0.033702198851598635,0.016514659193641347,0.22409001696213887,0.2723353298330045,0.14524128585022256,0.2669328058728775,0.12729932978121467,1.0,0.1737675889513381,0.08902955833079948,0.20995376481977907,0.13299498533285825,0.07827533154718455,0.5105142150868168,0.30723399465393453,0.029302563555413035,-0.12926304341759984,0.05481022151240819,0.10471263019588825,0.30191568531206164,0.19293456550756605,0.04689442486859423,0.0018906715126229814,0.021956040589643473,,-0.4909658508669724,0.0018906715126229814,-0.047445141077898954,-0.4766123804784961,-0.08174390118583177,0.018062212280158675,0.1420090722623848,0.18942205186409128,-0.006186645708940346,0.16177203678483817,0.23630169338578572,-0.10027254531808309,0.03350920289012385,0.01716359243472663,-0.04263354255368912,-0.019161922165909482,0.020503628864169413,0.14200907226238493,0.1894220518640916,-0.046519008575469055,-0.05884042336026569,-0.009093911342261063,0.06057445282616698,-4.796493689905936e-05
F41,-0.07852339842953807,-0.14311475849268845,-0.08564484928658338,0.6120233609067459,0.468545839640158,0.3016443407860262,0.6340204901288158,0.47327054244024125,0.17376758895133806,1.0,0.9297693862116969,0.6421439687141088,0.9830362346317667,-0.5188411501406879,0.50330528535992,0.3227737413819411,-0.04909370084161032,-0.04121265424382038,0.005997464674226537,0.154089463769807,0.18084150957700962,0.37274939884858743,-0.045216409277841596,-0.09702023068197894,-0.16507451583782334,,-0.22019670253302878,-0.09702023068197894,0.01064719490268599,-0.2128766700055603,-0.0835781393113384,-0.07869710292281107,0.33485673052117604,0.06607612981007314,-0.016304501149467153,0.09943285342645238,0.1008575049399501,0.08789153649968456,0.08437617988754025,-0.02036091445398429,-0.015662343920771975,0.011540498615815286,0.002391137880856193,0.33485673052117615,0.0660761298100735,0.012226161243807,0.07753870101235015,0.20013150782844066,0.09184707859757246,0.15836376627368004
