,F25,F72,F104,F105,F101,F65,F68,F126,F41,F22,F94,F77,F110,F116,F115,F117,F120,F123,category
F25,1.0,0.9892777888840333,0.04238636073258763,-0.016255141759782123,-0.05771401046980288,0.022019287028857044,0.003664419947262131,0.090882735032922,-0.14311475849268845,-0.09484295389326007,0.12294693714659172,0.6594646868217431,-0.02886248607787294,-0.07956894064675323,-0.18156980614169876,-0.02886248607787298,0.04248357852134634,0.04248357852134634,-0.14587967781417788
F72,0.9892777888840333,1.0,0.040205664001338744,-0.018228171845677356,-0.0676410133565591,0.011176822741213245,-0.02240724368664015,0.07400676523778894,-0.16507451583782334,-0.10974708398795288,0.09397838788565988,0.6629661865753661,-0.025458997014727855,-0.08478480384644121,-0.18370200102350503,-0.02545899701472785,0.038283657344473164,0.038283657344473164,-0.14648021301374123
F104,0.04238636073258763,0.04020566400133874,1.0,0.01698326691484271,-0.0033118635633429066,-0.20553973908586143,-0.18901566356861677,-0.18841335563484163,0.08789153649968456,-0.04916839878588269,-0.29393981350993437,0.00648868860721812,0.012367669159969844,0.02215148451274884,0.008091728722320354,0.01236766915996996,-0.06557231873862006,-0.06557231873862006,0.007023803091629185
F105,-0.016255141759782127,-0.018228171845677352,0.016983266914842712,1.0,0.019155396073324907,0.0013719438256619531,0.10385673949567345,-0.0043159367739857854,0.08437617988754026,0.07182929043329539,0.07369113408405582,0.021185777692626275,-0.0530803834249425,0.04708094328771977,-0.0521239414357152,-0.05308038342494254,0.04280218262584093,0.04280218262584093,-0.06158776395719865
F101,-0.05771401046980287,-0.0676410133565591,-0.003311863563342907,0.019155396073324907,0.9999999999999998,-0.041992047542321144,-0.023147569668211854,-0.04315380212156889,-0.016304501149467153,0.048534226244711653,-0.041528268927456494,0.025705299746331386,-0.005515193513248733,-0.03508809638148104,-0.03190615694976816,-0.005515193513248735,0.058974390238537226,0.058974390238537226,-0.041964611196782325
F65,0.022019287028857044,0.011176822741213245,-0.20553973908586146,0.0013719438256619533,-0.04199204754232115,0.9999999999999999,0.13379067543988718,0.6753786237588506,0.005997464674226537,-0.006068326515720077,0.3565859672649314,0.022664746624139444,-0.03199451458094086,-0.07960874654388281,-0.028624525404261636,-0.03199451458094091,0.0985606595337145,0.0985606595337145,-0.020731850691009066
F68,0.003664419947262131,-0.02240724368664015,-0.18901566356861677,0.10385673949567344,-0.02314756966821185,0.13379067543988715,1.0,0.3936666172112182,0.37274939884858743,-0.02851933176961907,0.792948115776453,-0.011127093344578728,-0.05075210756066114,-0.07591287913036522,-0.048783293598137475,-0.0507521075606611,0.05063731068021282,0.05063731068021282,-0.03820277496689735
F126,0.090882735032922,0.07400676523778894,-0.18841335563484166,-0.0043159367739857854,-0.04315380212156889,0.6753786237588506,0.3936666172112182,1.0,0.17731362500205097,-0.06928326142973851,0.4475317726671502,0.07725063710174881,-0.07565793440823225,-0.07210036399673658,-0.059184497208204005,-0.07565793440823228,0.0536560687724393,0.0536560687724393,-0.04111470200822764
F41,-0.14311475849268845,-0.16507451583782334,0.08789153649968456,0.08437617988754025,-0.016304501149467153,0.005997464674226537,0.37274939884858743,0.17731362500205097,1.0,0.00024380554001995764,0.33485673052117604,-0.09702023068197894,0.002391137880856193,0.09184707859757246,0.20013150782844066,0.002391137880856176,-0.05681705964056039,-0.05681705964056039,0.15836376627368004
F22,-0.09484295389326007,-0.1097470839879529,-0.04916839878588269,0.07182929043329539,0.048534226244711653,-0.006068326515720077,-0.02851933176961907,-0.0692832614297385,0.00024380554001995764,1.0,-0.021888858301564694,-0.07647526044598985,-0.11619620860625915,0.0192882568566952,-0.004406667692869349,-0.11619620860625919,0.18231422923123466,0.18231422923123466,-0.02678751341385575
