F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-Class,F3-Long,F3-PrintStream,F3-File,F3-Project,F3-byte[],F3-null,F3-boolean,F3-Object,F3-FileInputStream,F3-FileOutputStream,F3-char,F3-nestedTask.getTaskName(),F3-String,F3-long,F3-int,F3-Project.MSG_DEBUG,F3-Path,F3-Locale,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-kevj@apache.org,F71-dev-null@apache.org,F71-jskeet@apache.org,F71-donaldp@apache.org,F71-antoine@apache.org,F71-jkf@apache.org,F71-stevel@apache.org,F71-jglick@apache.org,F71-bodewig@apache.org,F71-stefano@apache.org,F71-umagesh@apache.org,F71-sbailliez@apache.org,F71-ehatcher@apache.org,F71-costin@apache.org,F71-rubys@apache.org,F71-peterreilly@apache.org,F71-hibou@apache.org,F71-conor@apache.org,F71-mbenson@apache.org,F71-jhm@apache.org,category
10851,3288,60,148,0.3751600512163892,0.9782903663500678,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,BAD_PRACTICE,DE_MIGHT_IGNORE,3,0.3333333333333333,0.3333333333333333,0.4577366600004116,-0.3333333333333333,0.4577366600004116,0.1428571428571428,8455,51,2395,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,close
10851,3288,60,148,0.9980793854033292,0.9782903663500678,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,MALICIOUS_CODE,DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,2,-1.0,0.0,0.1740548406037683,-1.0,0.1740548406037683,0.1428571428571428,742,51,2395,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,open
10851,3288,60,148,0.4935979513444302,0.9782903663500678,0.6309523809523809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,BAD_PRACTICE,NM_CONFUSING,3,0.5,0.3666666666666666,0.4577366600004116,-0.2666666666666666,0.4577366600004116,0.1428571428571428,12219,51,2395,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,close
10851,3288,60,148,0.1363636363636363,0.9782903663500678,0.7169312169312169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,119,BAD_PRACTICE,NM_CONFUSING,3,0.5,0.3666666666666666,0.4577366600004116,-0.2666666666666666,0.4577366600004116,0.1428571428571428,12219,51,2395,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,close
10851,3288,60,148,0.765685019206146,0.9782903663500678,0.2272727272727272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.0,0.4487656916173399,-1.0,0.4487656916173399,0.1428571428571428,12219,51,2395,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,open
10851,3288,60,148,0.3706786171574904,0.9782903663500678,0.2307692307692307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,3,0.3333333333333333,0.2162162162162162,0.4487656916173399,-0.5675675675675675,0.4487656916173399,0.1428571428571428,9487,51,2395,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,open
10851,3288,60,148,0.3751600512163892,0.9782903663500678,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,STYLE,REC_CATCH_EXCEPTION,3,0.3333333333333333,0.4565217391304347,0.4487656916173399,-0.0869565217391304,0.4487656916173399,0.1428571428571428,8455,51,2395,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,close
6363,2517,10,148,0.8691099476439791,0.2253521126760563,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,I18N,DM_DEFAULT_ENCODING,1,-1.0,0.2360248447204969,0.0054402077466147,-0.5279503105590062,0.0054402077466147,0.3333333333333333,730,51,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,open
6363,2517,10,148,0.2617801047120419,0.2253521126760563,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,CORRECTNESS,IJU_TEARDOWN_NO_SUPER,2,1.0,0.7647058823529411,0.2486924523903422,0.5294117647058824,0.2486924523903422,0.3333333333333333,7607,51,63,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,close
6363,2517,10,148,0.387434554973822,0.2253521126760563,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,119,STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,1.0,0.1296296296296296,0.4487656916173399,-0.7407407407407407,0.4487656916173399,0.3333333333333333,738,51,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,close
6363,2517,22,148,0.8002577319587629,0.7821782178217822,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.3666666666666666,0.4577366600004116,-0.2666666666666666,0.4577366600004116,-1.0,6298,51,177,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,open
6363,2517,22,148,0.3298969072164948,0.7821782178217822,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.3666666666666666,0.4577366600004116,-0.2666666666666666,0.4577366600004116,-1.0,6298,51,177,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,open
6363,2517,22,148,0.5927835051546392,0.7821782178217822,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2,-1.0,0.2162162162162162,0.4487656916173399,-0.5675675675675675,0.4487656916173399,-1.0,6298,51,177,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,open
6363,2517,22,148,0.5670103092783505,0.7821782178217822,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,3,-1.0,0.2162162162162162,0.4487656916173399,-0.5675675675675675,0.4487656916173399,-1.0,6298,51,177,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,open
8618,3111,125,148,0.0521001615508885,1.4035453597497394,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,BAD_PRACTICE,SE_BAD_FIELD,2,0.0,1.0,0.4577366600004116,1.0,0.4577366600004116,0.0666666666666666,12460,51,9295,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,close
