F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-Class,F3-Integer,F3-Long,F3-PrintStream,F3-File,F3-InputStream,F3-Project,F3-getConfig().baseNameTerminator,F3-null,F3-byte[],F3-boolean,F3-Object,F3-FileInputStream,F3-FileOutputStream,F3-char,F3-nestedTask.getTaskName(),F3-String,F3-int,F3-Project.MSG_DEBUG,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-kevj@apache.org,F71-jskeet@apache.org,F71-donaldp@apache.org,F71-antoine@apache.org,F71-jkf@apache.org,F71-stevel@apache.org,F71-jglick@apache.org,F71-mclarke@unknown,F71-bodewig@apache.org,F71-stefano@apache.org,F71-umagesh@apache.org,F71-sbailliez@apache.org,F71-ehatcher@apache.org,F71-costin@apache.org,F71-rubys@apache.org,F71-peterreilly@apache.org,F71-hibou@apache.org,F71-conor@apache.org,F71-mbenson@apache.org,F71-jhm@apache.org,category
10851,4749,62,155,0.3662145499383477,0.9213197969543148,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,BAD_PRACTICE,DE_MIGHT_IGNORE,3,-1.0,0.1111111111111111,0.159771610673744,-0.7777777777777778,0.159771610673744,-0.7142857142857143,43,0,2740,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,open
10851,4749,62,155,0.9771886559802712,0.9213197969543148,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,MALICIOUS_CODE,DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,2,-1.0,0.0,0.172399843912591,-1.0,0.172399843912591,-0.7142857142857143,1364,0,2740,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,open
10851,4749,62,155,0.4827373612823674,0.9213197969543148,0.6309523809523809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,BAD_PRACTICE,NM_CONFUSING,3,0.5,0.0655737704918032,0.159771610673744,-0.8688524590163934,0.159771610673744,-0.7142857142857143,12841,0,2740,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,close
10851,4749,62,155,0.1337854500616523,0.9213197969543148,0.7169312169312169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,113,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.0655737704918032,0.159771610673744,-0.8688524590163934,0.159771610673744,-0.7142857142857143,12841,0,2740,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,open
10851,4749,62,155,0.7527743526510481,0.9213197969543148,0.2272727272727272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.0,0.1524264447196081,-1.0,0.1524264447196081,-0.7142857142857143,12841,0,2740,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,open
10851,4749,62,155,0.3618988902589395,0.9213197969543148,0.2307692307692307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,3,-1.0,0.0625,0.1524264447196081,-0.875,0.1524264447196081,-0.7142857142857143,10109,0,2740,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,open
10851,4749,62,155,0.3662145499383477,0.9213197969543148,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,STYLE,REC_CATCH_EXCEPTION,3,-1.0,0.0,0.1524264447196081,-1.0,0.1524264447196081,-0.7142857142857143,43,0,2740,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,open
6363,3978,9,155,0.8809523809523809,0.2207792207792207,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,I18N,DM_DEFAULT_ENCODING,1,-1.0,0.0484848484848484,0.00022869617867212863,-0.9030303030303032,0.00022869617867212863,-1.0,1352,0,115,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,open
6363,3978,22,155,0.7789203084832905,0.7871287128712872,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.0655737704918032,0.159771610673744,-0.8688524590163934,0.159771610673744,-1.0,6920,0,193,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,open
6363,3978,22,155,0.3303341902313624,0.7871287128712872,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.0655737704918032,0.159771610673744,-0.8688524590163934,0.159771610673744,-1.0,6920,0,193,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,open
