F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-ArrayUtils.isSameLength(nullArray nullArray),F3-new ToStringBuilder(base).append(array).toString(),F3-Integer,F3-ArrayUtils.toObject(b),F3-Throwable,F3-ArrayUtils.toPrimitive(b),F3-!new EqualsBuilder().append(obj1 obj2).isEquals(),F3-double[],F3-null,F3-byte[],F3-boolean,F3-new EqualsBuilder().append(obj1 obj2).isEquals(),F3-char,F3-String,F3-boolean[],F3-int,F3-char[],F3-ArrayUtils.nullToEmpty(original),F3-long[],F15-NA,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-jcarman@apache.org,F71-pbenedict@apache.org,F71-britter@apache.org,F71-niallp@apache.org,F71-chas@apache.org,F71-oheger@apache.org,F71-julius@apache.org,F71-brentworden@apache.org,F71-kinow@apache.org,F71-mcucchiara@apache.org,F71-ggregory@apache.org,F71-bayard@apache.org,F71-djones@apache.org,F71-joehni@apache.org,F71-psteitz@apache.org,F71-scolebourne@apache.org,F71-mbenson@apache.org,F71-tn@apache.org,F71-sebb@apache.org,category
2238,1386,11,122,0.4429133858267716,0.0433839479392624,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,337,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.0,0.1629842019452409,-1.0,0.1629842019452409,-1.0,1462,295,138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,open
2238,1386,11,122,0.889763779527559,0.0433839479392624,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,337,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,0.0,0.1794871794871795,0.1441745102569434,-0.6410256410256411,0.1441745102569434,-1.0,1462,295,138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,open
2562,1663,233,122,0.4213464696223317,1.7330210772833723,0.6428571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,337,STYLE,FE_FLOATING_POINT_EQUALITY,3,-1.0,0.0,0.2658143502507453,-1.0,0.2658143502507453,-1.0,1786,295,2046,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,open
2562,1663,233,122,0.4553366174055829,1.7330210772833723,0.6428571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,337,STYLE,FE_FLOATING_POINT_EQUALITY,3,-1.0,0.0,0.2658143502507453,-1.0,0.2658143502507453,-1.0,1786,295,2046,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,open
2562,1663,233,122,0.4371100164203612,1.7330210772833723,0.7058823529411765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,337,STYLE,FE_FLOATING_POINT_EQUALITY,3,-1.0,0.0,0.2658143502507453,-1.0,0.2658143502507453,-1.0,1786,295,2046,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,open
2562,1663,233,122,0.4627257799671593,1.7330210772833723,0.7058823529411765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,337,STYLE,FE_FLOATING_POINT_EQUALITY,3,-1.0,0.0,0.2658143502507453,-1.0,0.2658143502507453,-1.0,1786,295,2046,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,open
2562,1663,233,122,0.0663382594417077,1.7330210772833723,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,337,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.1,0.2658143502507453,-0.8,0.2658143502507453,-1.0,1786,295,2046,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,open
2562,1663,233,122,0.0637110016420361,1.7330210772833723,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,337,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.1,0.2658143502507453,-0.8,0.2658143502507453,-1.0,1786,295,2046,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,open
2562,1663,233,122,0.0689655172413793,1.7330210772833723,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,337,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.1,0.2658143502507453,-0.8,0.2658143502507453,-1.0,1786,295,2046,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,open
2562,1663,233,122,0.0715927750410509,1.7330210772833723,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,337,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,-1.0,0.1,0.2658143502507453,-0.8,0.2658143502507453,-1.0,1786,295,2046,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,open
