F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-int[],F3-Integer,F3-Long,F3-ResultSet,F3-InputStream,F3-TransactionController,F3-null,F3-byte[],F3-boolean,F3-Object[],F3-char,F3-String,F3-long,F3-ExecRow,F3-int,F3-PrintWriter,F3-SQLException,F3-QualifiedIdentifier,F3-Connection,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-mamta@apache.org,F71-djd@apache.org,F71-lilywei@apache.org,F71-davidvc@apache.org,F71-kmarsden@apache.org,F71-rhillegas@apache.org,F71-bakksjo@apache.org,F71-mikem@apache.org,F71-myrnavl@apache.org,F71-kristwaa@apache.org,F71-dag@apache.org,F71-kahatlen@apache.org,F71-bandaram@apache.org,F71-oysteing@apache.org,F71-suresht@apache.org,F71-dyre@apache.org,F71-bernt@apache.org,F71-fuzzylogic@apache.org,F71-bpendleton@apache.org,F71-coar@apache.org,category
2201,1056,39,47,0.9326315789473684,0.4402173913043478,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77,STYLE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,0.0,0.0178571428571428,0.1290974944245563,-0.9642857142857144,0.1290974944245563,-0.8,191,22,133,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,close
7791,3169,20,47,0.5166340508806262,0.2528409090909091,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77,STYLE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,0.0,0.0178571428571428,0.1290974944245563,-0.9642857142857144,0.1290974944245563,-1.0,6099,22,288,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,open
7791,3169,20,47,0.5283757338551859,0.2528409090909091,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77,STYLE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,0.0,0.0178571428571428,0.1290974944245563,-0.9642857142857144,0.1290974944245563,-1.0,7203,22,288,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,open
2201,1056,39,47,0.9357894736842104,0.4402173913043478,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77,STYLE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,0.0,0.0178571428571428,0.1290974944245563,-0.9642857142857144,0.1290974944245563,-0.8,191,22,133,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,open
3644,2014,13,48,3.45,0.8888888888888888,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.0,0.0043804563877339,-1.0,0.0043804563877339,-1.0,7547,0,264,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
3346,1848,129,10,2.7790055248618786,0.1012658227848101,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.0,0.0043804563877339,-1.0,0.0043804563877339,-1.0,7547,0,151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
3346,1848,129,10,2.8093922651933703,0.1012658227848101,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.0,0.0043804563877339,-1.0,0.0043804563877339,-1.0,7547,0,151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
8134,3429,8,16,0.4119402985074626,0.1563786008230452,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.0222222222222222,0.1290974944245563,-0.9555555555555556,0.1290974944245563,-1.0,7547,66,21,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,open
8134,3429,8,16,0.4059701492537313,0.1563786008230452,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,PERFORMANCE,URF_UNREAD_FIELD,2,0.0,0.0,0.1465201652531058,-1.0,0.1465201652531058,-1.0,7547,66,21,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,open
1034,298,85,16,0.8551324503311258,0.5753823743627094,0.1578947368421052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,STYLE,DLS_DEAD_LOCAL_STORE,2,-1.0,0.0355555555555555,0.1290974944245563,-0.9288888888888888,0.1290974944245563,-1.0,2576,66,690,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,open
1034,298,85,16,0.7781456953642384,0.5753823743627094,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,BAD_PRACTICE,DMI_RANDOM_USED_ONLY_ONCE,1,-1.0,0.0,0.0043804563877339,-1.0,0.0043804563877339,-1.0,7547,66,690,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,open
