F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-HttpRequestBase,F3-Set<String>,F3-JMeterTreeNode,F3-StringProperty,F3-CollectionProperty,F3-TestElementProperty,F3-PrintStream,F3-GenericController,F3-HashTree,F3-byte[],F3-boolean,F3-Object,F3-MenuIcon,F3-String,F3-long,F3-InterleaveControl.IGNORE_SUB_CONTROLLERS,F3-int,F3-String[],F3-Arguments,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-dev-null@apache.org,F71-mblankestijn@apache.org,F71-fschumacher@apache.org,F71-jsalvata@apache.org,F71-dims@apache.org,F71-jeremy_a@apache.org,F71-seade@apache.org,F71-oros@apache.org,F71-woolfel@apache.org,F71-pmouawad@apache.org,F71-alf@apache.org,F71-fschumacher@unknown,F71-milamber@apache.org,F71-thads@apache.org,F71-rjung@apache.org,F71-sebb@apache.org,F71-mstover1@apache.org,F71-undera@apache.org,F71-pmouawad@unknown,category
11856,3910,27,7,0.1571218795888399,0.4143920595533499,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,MALICIOUS_CODE,EI_EXPOSE_REP,2,1.0,0.125,0.0394932537966166,-0.75,0.0394932537966166,1.0,9201,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,close
11856,3910,27,7,0.3333333333333333,0.4143920595533499,0.3571428571428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,MALICIOUS_CODE,EI_EXPOSE_REP2,2,1.0,0.1,0.0394932537966166,-0.8,0.0394932537966166,1.0,9201,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,close
11856,3910,27,7,0.328928046989721,0.4143920595533499,0.1428571428571428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,MALICIOUS_CODE,EI_EXPOSE_REP2,2,1.0,0.1,0.0394932537966166,-0.8,0.0394932537966166,1.0,9201,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,close
8614,2758,8,1,0.9666666666666668,0.3009708737864077,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,STYLE,REC_CATCH_EXCEPTION,3,1.0,0.2142857142857142,0.4250676555271278,-0.5535714285714286,0.4250676555271278,1.0,5959,0,106,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,close
13761,4859,22,12,0.3515151515151515,0.1457883369330453,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,BAD_PRACTICE,DM_EXIT,2,1.0,0.8,0.1048601512534388,0.6,0.1048601512534388,0.3333333333333333,4309,0,745,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,close
13761,4859,22,12,0.9056277056277056,0.1457883369330453,0.4137931034482758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,MALICIOUS_CODE,EI_EXPOSE_REP,2,-1.0,0.125,0.0394932537966166,-0.75,0.0394932537966166,0.3333333333333333,8969,0,745,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,open
13761,4859,22,12,0.7064935064935065,0.1457883369330453,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,STYLE,REC_CATCH_EXCEPTION,2,-1.0,0.2142857142857142,0.4250676555271278,-0.5535714285714286,0.4250676555271278,0.3333333333333333,11106,0,745,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,open
13761,4859,22,12,0.2692640692640692,0.1457883369330453,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,6,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,0.0,0.71875,0.1677679897339876,0.4375,0.1677679897339876,0.3333333333333333,11106,0,745,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,open
13761,4859,22,12,0.8718614718614719,0.1457883369330453,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,STYLE,UC_USELESS_CONDITION,3,1.0,0.5,0.4250676555271278,0.0,0.4250676555271278,0.3333333333333333,797,0,745,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,close
13761,4859,22,12,0.8571428571428571,0.1457883369330453,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,6,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,0.0,0.71875,0.1677679897339876,0.4375,0.1677679897339876,0.3333333333333333,11106,0,745,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,open
