F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-CharSequence,F3-int[],F3-Class,F3-StringBuilder,F3-Among[],F3-byte[],F3-boolean,F3-FileInputStream,F3-char,F3-Bits,F3-String,F3-long,F3-CharStream,F3-int,F3-ValueSource,F3-char[],F3-getBoost(),F3-long[],F3-Path,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-ryan@apache.org,F71-chrism@apache.org,F71-anshum@apache.org,F71-shalin@apache.org,F71-rmuir@apache.org,F71-sarowe@apache.org,F71-simonw@apache.org,F71-gsingers@apache.org,F71-hossman@apache.org,F71-jpountz@apache.org,F71-markrmiller@apache.org,F71-noble@apache.org,F71-yonik@apache.org,F71-mikemccand@apache.org,F71-shaie@apache.org,F71-rjernst@apache.org,F71-erick@apache.org,F71-romseygeek@apache.org,F71-dweiss@apache.org,F71-uschindler@apache.org,category
4679,7,44,57,0.5047219307450157,0.174757281553398,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,STYLE,REC_CATCH_EXCEPTION,3,-1.0,0.3353293413173652,0.6054958125471315,-0.0958083832335329,0.6054958125471315,-1.0,13630,36,891,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,open
4679,7,44,57,0.1122770199370409,0.174757281553398,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,STYLE,BC_UNCONFIRMED_CAST,3,-1.0,0.23,0.6054958125471315,-0.35,0.6054958125471315,-1.0,13873,36,891,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,open
19865,1985,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,84,STYLE,EQ_DOESNT_OVERRIDE_EQUALS,2,1.0,0.9477124183006536,0.6054958125471315,0.9019607843137256,0.6054958125471315,144.0,16302,883,1461,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,close
19865,1985,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,84,STYLE,EQ_DOESNT_OVERRIDE_EQUALS,2,1.0,0.9477124183006536,0.6054958125471315,0.9019607843137256,0.6054958125471315,144.0,16302,883,1461,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,close
10892,824,2,57,0.7737226277372263,0.3146067415730337,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,STYLE,BC_UNCONFIRMED_CAST,3,1.0,0.23,0.6054958125471315,-0.35,0.6054958125471315,-0.5,6268,36,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,close
10892,824,2,57,0.9562043795620438,0.3146067415730337,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,CORRECTNESS,UWF_UNWRITTEN_FIELD,3,0.0,0.0,0.4278291503174128,-0.6,0.4278291503174128,-0.5,6268,36,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,open
10892,824,2,57,0.9562043795620438,0.3146067415730337,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,CORRECTNESS,UWF_UNWRITTEN_FIELD,3,0.0,0.0,0.4278291503174128,-0.6,0.4278291503174128,-0.5,6268,36,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,open
19865,1985,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,84,STYLE,EQ_DOESNT_OVERRIDE_EQUALS,2,1.0,0.9477124183006536,0.6054958125471315,0.9019607843137256,0.6054958125471315,144.0,16302,883,1461,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,close
6742,294,5,57,0.6888888888888889,0.2422360248447205,0.6752136752136753,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,PERFORMANCE,UPM_UNCALLED_PRIVATE_METHOD,3,-1.0,0.7105263157894737,0.1870202347194378,0.4868421052631579,0.1870202347194378,-1.0,10382,36,530,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,open
6742,294,5,57,0.24,0.2422360248447205,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,STYLE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,0.0,0.2619047619047619,0.6054958125471315,-0.2619047619047619,0.6054958125471315,-1.0,10382,36,530,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,open
6742,294,5,57,0.2444444444444444,0.2422360248447205,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,STYLE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,0.0,0.2619047619047619,0.6054958125471315,-0.2619047619047619,0.6054958125471315,-1.0,10382,36,530,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,open
6742,294,5,57,0.2533333333333333,0.2422360248447205,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,STYLE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,0.0,0.2619047619047619,0.6054958125471315,-0.2619047619047619,0.6054958125471315,-1.0,10382,36,530,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,open
6742,294,5,57,0.2577777777777778,0.2422360248447205,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,STYLE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,0.0,0.2619047619047619,0.6054958125471315,-0.2619047619047619,0.6054958125471315,-1.0,10382,36,530,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,open
6742,294,5,57,0.8622222222222222,0.2422360248447205,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,0.0,0.3471074380165289,0.1870202347194378,-0.1735537190082644,0.1870202347194378,-1.0,10382,36,530,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,open
19865,1985,23,239,0.7136563876651982,0.6126482213438735,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,84,STYLE,EQ_DOESNT_OVERRIDE_EQUALS,2,1.0,0.9477124183006536,0.6054958125471315,0.9019607843137256,0.6054958125471315,144.0,16302,883,1461,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,close
12834,990,11,57,0.6058823529411764,0.75,0.3594470046082949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,STYLE,SF_SWITCH_NO_DEFAULT,2,-1.0,0.5704225352112676,0.6054958125471315,0.1971830985915492,0.6054958125471315,-1.0,11790,36,300,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,open
