F72,F25,F65,F68,F101,F104,F105,F94,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,category
2658,610,15,29,0.5560233918128654,0.0442477876106194,0.0857142857142857,15,2,1.0,1.0,0.0396825396825396,1.0,0.0396825396825396,0.3333333333333333,8531,50,1823,close
2658,610,15,29,0.5801169590643275,0.0442477876106194,0.5,15,2,-1.0,0.2,0.1728417398915681,-0.5428571428571428,0.1728417398915681,0.3333333333333333,580,50,1823,open
2658,610,15,29,0.5508771929824562,0.0442477876106194,0.2142857142857142,15,3,1.0,0.2,0.1728417398915681,-0.4,0.1728417398915681,0.3333333333333333,154,50,1823,close
9780,2335,4,29,0.3448275862068966,0.0416666666666666,1.0,15,2,0.0,0.0,0.3883869606277179,-1.0,0.3883869606277179,-1.0,8531,50,73,open
4237,1178,3,29,0.8108108108108109,0.5,0.6666666666666666,15,3,-1.0,0.3333333333333333,0.4931046897048161,-0.3333333333333333,0.4931046897048161,-1.0,2988,50,2,open
1414,129,11,29,0.5521235521235521,0.2701149425287356,1.0,15,3,1.0,0.0310077519379844,0.4931046897048161,-0.813953488372093,0.4931046897048161,1.0,165,50,9,close
4522,1349,24,12,0.7743732590529248,0.1325301204819277,0.1,6,2,-1.0,0.2,0.1728417398915681,-0.5428571428571428,0.1728417398915681,-1.0,6330,94,452,open
4522,1349,24,12,0.8440111420612814,0.1325301204819277,0.25,6,3,-1.0,0.0363636363636363,0.4931046897048161,-0.6,0.4931046897048161,-1.0,6330,94,452,open
7756,1982,6,12,0.6,0.7,0.375,6,3,1.0,0.5,0.1941964285714285,0.0,0.1941964285714285,1.0,6507,94,284,close
5759,1798,12,12,0.4285714285714285,0.217391304347826,0.5,6,3,-1.0,0.0363636363636363,0.4931046897048161,-0.6,0.4931046897048161,-1.0,3129,94,118,open
8218,2023,14,4,0.5851851851851851,0.2674418604651162,1.0,1,2,0.0,0.0,0.0634920634920634,-1.0,0.0634920634920634,-1.0,6969,0,85,open
9785,2335,5,3,0.2527472527472527,0.1615384615384615,1.0,3,1,0.0,0.1666666666666666,0.1728417398915681,-0.6666666666666666,0.1728417398915681,-1.0,8536,0,2990,open
6489,1905,2,3,0.8157894736842105,1.5,1.0,3,1,0.0,0.1666666666666666,0.1728417398915681,-0.6666666666666666,0.1728417398915681,-1.0,5240,0,137,open
9066,2109,1,6,0.9393939393939394,1.5,1.0,5,1,0.0,0.1666666666666666,0.1728417398915681,-0.6666666666666666,0.1728417398915681,-1.0,7817,0,39,open
