F72,F25,F65,F68,F101,F104,F105,F3-TEST_PROPERTIES,F3-NA,F3-SortOrder.DESC,F3-SortOrder.ASC,F3-null,F3-byte[],F3-getUrl(),F3-Object,F3-boolean,F3-PhoenixArray,F3-String,F3-long,F3-int,F3-Properties,F3-List<ParseNode>,F3-BitSet,F3-PreparedStatement,F3-input,F3-Connection,F3-PDataType,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-ramkrishna.s.vasudevan@intel.com,F71-jtaylor@salesforce.com,F71-jamestaylor@apache.org,F71-tdsilva@salesforce.com,F71-ndimiduk@apache.org,F71-twdsilva@gmail.com,F71-samarth.jain@salesforce.com,F71-jeffreyz@apache.org,F71-jyates@apache.org,F71-enis@apache.org,F71-maryannxue@apache.org,F71-jzhong@JZhongs-MacBook-Pro.local,F71-elilevine@apache.org,F71-stoens@apache.org,F71-rajeshbabu.chintaguntla@huawei.com,F71-gabrielr@ngdata.com,F71-rajeshbabu@apache.org,F71-ramkrishna.s.vasudevan@gmail.com,F71-mujtaba@apache.org,F71-wei.xue@intel.com,category
1702,497,3,3,0.5631067961165048,0.4666666666666667,0.3529411764705882,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,CORRECTNESS,RV_RETURN_VALUE_IGNORED,2,-1.0,0.1458333333333333,0.12008951492583,-0.7083333333333334,349.15441176470586,-1.0,805,0,4,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,open
1585,416,10,14,0.2568627450980392,0.323943661971831,0.8181818181818182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,MALICIOUS_CODE,EI_EXPOSE_REP2,2,1.0,0.4418604651162791,0.0228834259810278,-0.1162790697674418,442.1648351648352,1.0,380,0,71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,close
1585,416,10,14,0.2529411764705882,0.323943661971831,0.6363636363636364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,MALICIOUS_CODE,EI_EXPOSE_REP2,2,1.0,0.4418604651162791,0.0228834259810278,-0.1162790697674418,442.1648351648352,1.0,688,0,71,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,close
1585,416,10,14,0.192156862745098,0.323943661971831,0.8181818181818182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,MALICIOUS_CODE,EI_EXPOSE_REP2,2,1.0,0.4418604651162791,0.0228834259810278,-0.1162790697674418,442.1648351648352,1.0,380,0,71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,close
1585,416,10,14,0.188235294117647,0.323943661971831,0.6363636363636364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,MALICIOUS_CODE,EI_EXPOSE_REP2,2,1.0,0.4418604651162791,0.0228834259810278,-0.1162790697674418,442.1648351648352,1.0,688,0,71,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,close
1585,416,10,14,0.976470588235294,0.323943661971831,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,1.0,0.4666666666666667,0.3301508057104579,-0.0666666666666666,459.622030237581,1.0,688,0,71,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,close
1585,416,4,14,0.4980544747081712,0.0826086956521739,0.2126436781609195,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,NP_LOAD_OF_KNOWN_NULL_VALUE,2,-1.0,0.0,0.3301508057104579,-1.0,459.622030237581,-1.0,688,0,60,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,open
1585,416,4,14,0.3657587548638132,0.0826086956521739,0.1954022988505747,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,3,-1.0,0.2,0.3301508057104579,-0.6,459.622030237581,-1.0,688,0,60,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,open
1585,416,24,14,0.1392276422764227,0.486088379705401,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,MALICIOUS_CODE,EI_EXPOSE_REP2,2,1.0,0.4418604651162791,0.0228834259810278,-0.1162790697674418,442.1648351648352,1.0,688,0,886,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,close
1585,416,24,14,0.2713414634146341,0.486088379705401,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,3,1.0,0.2,0.3301508057104579,-0.6,459.622030237581,1.0,688,0,886,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,close
1585,416,24,14,0.5396341463414634,0.486088379705401,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,REC_CATCH_EXCEPTION,2,1.0,0.2631578947368421,0.3301508057104579,-0.4736842105263157,459.622030237581,1.0,688,0,886,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,close
1585,416,24,14,0.4593495934959349,0.486088379705401,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,REC_CATCH_EXCEPTION,3,1.0,0.2631578947368421,0.3301508057104579,-0.4736842105263157,459.622030237581,1.0,688,0,886,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,close
1585,416,3,14,0.963157894736842,0.1265822784810126,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2,1.0,0.2,0.3301508057104579,-0.6,459.622030237581,1.0,528,0,46,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,close
1977,613,3,9,0.553921568627451,0.5675675675675675,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,2,0.0,0.05,0.0346429740061516,-0.9,481.2633928571428,-1.0,1080,0,310,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,open
