F72,F25,F65,F68,F101,F104,F105,F3-TEST_PROPERTIES,F3-NA,F3-SortOrder.DESC,F3-SortOrder.ASC,F3-null,F3-byte[],F3-getUrl(),F3-boolean,F3-Object,F3-PhoenixArray,F3-String,F3-long,F3-int,F3-Properties,F3-List<ParseNode>,F3-BitSet,F3-PreparedStatement,F3-input,F3-Connection,F3-PDataType,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-ramkrishna.s.vasudevan@intel.com,F71-jtaylor@salesforce.com,F71-jamestaylor@apache.org,F71-tdsilva@salesforce.com,F71-ndimiduk@apache.org,F71-twdsilva@gmail.com,F71-samarth.jain@salesforce.com,F71-jeffreyz@apache.org,F71-enis@apache.org,F71-maryannxue@apache.org,F71-jzhong@JZhongs-MacBook-Pro.local,F71-elilevine@apache.org,F71-stoens@apache.org,F71-jmahonin@interset.com,F71-gabrielr@ngdata.com,F71-rajeshbabu@apache.org,F71-ramkrishna.s.vasudevan@gmail.com,F71-samarth@apache.org,F71-mujtaba@apache.org,F71-wei.xue@intel.com,category
1702,587,3,3,0.5631067961165048,0.4666666666666667,0.3529411764705882,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,CORRECTNESS,RV_RETURN_VALUE_IGNORED,2,-1.0,0.1632653061224489,0.2246331827972645,-0.673469387755102,418.88028169014086,-1.0,954,0,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,open
1585,506,10,15,0.2568627450980392,0.323943661971831,0.8181818181818182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,MALICIOUS_CODE,EI_EXPOSE_REP2,2,1.0,0.4418604651162791,0.0225249425685392,-0.1162790697674418,511.1056338028169,1.0,529,7,71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,close
1585,506,10,15,0.2529411764705882,0.323943661971831,0.6363636363636364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,MALICIOUS_CODE,EI_EXPOSE_REP2,2,1.0,0.4418604651162791,0.0225249425685392,-0.1162790697674418,511.1056338028169,1.0,837,7,71,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,close
1585,506,10,15,0.192156862745098,0.323943661971831,0.8181818181818182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,MALICIOUS_CODE,EI_EXPOSE_REP2,2,1.0,0.4418604651162791,0.0225249425685392,-0.1162790697674418,511.1056338028169,1.0,529,7,71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,close
1585,506,10,15,0.188235294117647,0.323943661971831,0.6363636363636364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,MALICIOUS_CODE,EI_EXPOSE_REP2,2,1.0,0.4418604651162791,0.0225249425685392,-0.1162790697674418,511.1056338028169,1.0,837,7,71,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,close
1585,506,10,15,0.976470588235294,0.323943661971831,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,1.0,0.3846153846153846,0.1482261585147855,-0.2307692307692307,524.3518123667377,1.0,837,7,71,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,close
1585,506,4,15,0.4980544747081712,0.0826086956521739,0.2126436781609195,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,NP_LOAD_OF_KNOWN_NULL_VALUE,2,-1.0,0.0,0.1482261585147855,-1.0,524.3518123667377,-1.0,837,7,60,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,open
1585,506,4,15,0.3657587548638132,0.0826086956521739,0.1954022988505747,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,3,-1.0,0.1818181818181818,0.1482261585147855,-0.6363636363636364,524.3518123667377,-1.0,837,7,60,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,open
1585,506,24,15,0.1392276422764227,0.486088379705401,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,MALICIOUS_CODE,EI_EXPOSE_REP2,2,1.0,0.4418604651162791,0.0225249425685392,-0.1162790697674418,511.1056338028169,1.0,837,7,886,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,close
1585,506,24,15,0.2713414634146341,0.486088379705401,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,3,1.0,0.1818181818181818,0.1482261585147855,-0.6363636363636364,524.3518123667377,1.0,837,7,886,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,close
