F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-Session,F3-Integer,F3-PooledConnectionAndInfo,F3-Class<?>[],F3-InputStream,F3-ELContext,F3-MappedHost[],F3-byte[],F3-boolean,F3-Object,F3-Object[],F3-key.getSql(),F3-String,F3-long,F3-Reader,F3-int,F3-String[],F3-ObjectName,F3-Level,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-mturk@apache.org,F71-jboynes@apache.org,F71-remm@apache.org,F71-fhanik@apache.org,F71-kfujino@apache.org,F71-funkman@apache.org,F71-costin@apache.org,F71-kkolinko@apache.org,F71-jhook@apache.org,F71-schultz@apache.org =  schultz = Christopher Schultz schultz@apache.org@apache.org,F71-markt@apache.org,F71-timw@apache.org,F71-billbarker@apache.org,F71-jfclere@apache.org,F71-rjung@apache.org,F71-pero@apache.org,F71-schultz@apache.org,F71-violetagg@apache.org,F71-markt@apache.org =  markt = Mark Emlyn David Thomas markt@apache.org@apache.org,F71-slaurent@apache.org,category
4669,0,0,14,40.516666666666666,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.3103448275862069,0.6250450530305444,-0.3793103448275862,0.6250450530305444,-1.0,13326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
17995,3109,34,30,0.6968085106382979,1.2905405405405406,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.3103448275862069,0.6250450530305444,-0.3793103448275862,0.6250450530305444,-1.0,13326,2,161,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,open
17995,3109,23,30,2.2425925925925925,1.44,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.3103448275862069,0.6250450530305444,-0.3793103448275862,0.6250450530305444,-1.0,13326,2,201,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,open
17995,3109,23,30,2.314814814814815,1.44,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.3103448275862069,0.6250450530305444,-0.3793103448275862,0.6250450530305444,-1.0,13326,2,201,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,open
17995,3109,20,26,0.4682713347921225,1.5063291139240509,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.3103448275862069,0.6250450530305444,-0.3793103448275862,0.6250450530305444,-1.0,13168,4,78,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,open
17995,3109,14,26,0.3653846153846153,2.125,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.3103448275862069,0.6250450530305444,-0.3793103448275862,0.6250450530305444,-1.0,13326,4,79,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,open
8944,678,4,45,2.435897435897436,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.3103448275862069,0.6250450530305444,-0.3793103448275862,0.6250450530305444,-1.0,4275,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,open
17995,3109,13,21,0.4519230769230769,0.573170731707317,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.3103448275862069,0.6250450530305444,-0.3793103448275862,0.6250450530305444,-1.0,13326,0,251,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,open
17995,3109,13,21,1.2532051282051282,0.573170731707317,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.3103448275862069,0.6250450530305444,-0.3793103448275862,0.6250450530305444,-1.0,13326,0,251,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,open
17995,3109,13,21,0.3221153846153846,0.573170731707317,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.3103448275862069,0.6250450530305444,-0.3793103448275862,0.6250450530305444,-1.0,13326,0,251,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,open
