F72,F25,F65,F68,F101,F104,F105,F94,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,category
3987,0,0,14,41.15,0.0,1.0,12,3,-0.5,0.2,0.3697255411597923,-0.6,0.3697255411597923,-1.0,14008,0,0,open
17995,3201,34,30,0.6957671957671958,1.304054054054054,1.0,5,3,-0.5,0.2,0.3697255411597923,-0.6,0.3697255411597923,-1.0,14008,123,255,open
17995,3201,23,30,2.238970588235294,1.46,1.0,5,3,-0.5,0.2,0.3697255411597923,-0.6,0.3697255411597923,-1.0,14008,123,100,open
17995,3201,23,30,2.3106617647058822,1.46,1.0,5,3,-0.5,0.2,0.3697255411597923,-0.6,0.3697255411597923,-1.0,14008,123,100,open
17995,3201,20,26,0.4682713347921225,1.5063291139240509,1.0,18,3,-0.5,0.2,0.3697255411597923,-0.6,0.3697255411597923,-1.0,13850,70,78,open
17995,3201,14,26,0.3653846153846153,2.125,1.0,18,3,-0.5,0.2,0.3697255411597923,-0.6,0.3697255411597923,-1.0,14008,70,79,open
8944,770,4,45,2.435897435897436,1.0,1.0,3,3,-0.5,0.2,0.3697255411597923,-0.6,0.3697255411597923,-1.0,4957,134,0,open
17995,3201,13,21,0.4519230769230769,0.573170731707317,0.6666666666666666,7,3,-0.5,0.2,0.3697255411597923,-0.6,0.3697255411597923,-1.0,14008,2,251,open
17995,3201,13,21,1.2532051282051282,0.573170731707317,0.6666666666666666,7,3,-0.5,0.2,0.3697255411597923,-0.6,0.3697255411597923,-1.0,14008,2,251,open
17995,3201,13,21,0.3221153846153846,0.573170731707317,0.8333333333333334,7,3,-0.5,0.2,0.3697255411597923,-0.6,0.3697255411597923,-1.0,14008,2,251,open
17995,3201,13,21,0.9198717948717948,0.573170731707317,1.0,7,2,-1.0,0.1481481481481481,0.3008920359517971,-0.7037037037037037,0.3008920359517971,-1.0,14008,2,251,open
17995,3201,19,21,0.7,1.2551724137931035,0.375,7,1,-1.0,0.2307692307692307,0.0584959093234787,-0.5384615384615384,0.0584959093234787,-1.0,14008,2,8,open
17995,3201,19,21,1.4958333333333331,1.2551724137931035,0.8333333333333334,7,3,-0.5,0.2,0.3697255411597923,-0.6,0.3697255411597923,-1.0,14008,2,8,open
17995,3201,3,21,0.8823529411764706,0.7222222222222222,1.0,7,3,-1.0,0.1481481481481481,0.3008920359517971,-0.7037037037037037,0.3008920359517971,-1.0,14008,2,5,open
4879,114,20,11,0.9668508287292816,0.9213483146067416,1.0,7,2,-1.0,0.1481481481481481,0.3008920359517971,-0.7037037037037037,0.3008920359517971,-1.0,892,17,161,open
17995,3201,5,11,0.9738219895287958,0.8351648351648352,1.0,7,3,-1.0,0.1481481481481481,0.3008920359517971,-0.7037037037037037,0.3008920359517971,-1.0,14008,17,178,open
17995,3201,11,11,0.9601990049751244,1.170731707317073,0.5,7,3,1.0,0.4857142857142857,0.3008920359517971,-0.0285714285714285,0.3008920359517971,1.0,14008,17,190,close
17995,3201,40,11,0.759656652360515,0.5281173594132029,0.5892857142857143,7,3,1.0,0.85,0.3522747056669199,0.7,0.3522747056669199,1.0,14008,17,641,close
17995,3201,40,11,0.748211731044349,0.5281173594132029,0.4464285714285714,7,3,1.0,0.85,0.3522747056669199,0.7,0.3522747056669199,1.0,14008,17,641,close
17995,3201,40,11,0.721030042918455,0.5281173594132029,0.1071428571428571,7,2,1.0,0.9056603773584906,0.3522747056669199,0.8113207547169812,0.3522747056669199,1.0,14008,17,641,close
17995,3201,40,11,0.7324749642346209,0.5281173594132029,0.25,7,2,1.0,0.9056603773584906,0.3522747056669199,0.8113207547169812,0.3522747056669199,1.0,14008,17,641,close
17995,3201,20,23,0.7630402384500745,0.4066496163682864,1.0,18,2,-1.0,0.4857142857142857,0.3008920359517971,-0.0285714285714285,0.3008920359517971,-1.0,7809,296,432,open
17995,3201,20,23,0.9865871833084948,0.4066496163682864,1.0,18,2,-1.0,0.0,0.2570939440480909,-1.0,0.2570939440480909,-1.0,14008,296,432,open
14888,1882,12,23,0.7284671532846715,0.3732718894009216,0.7777777777777778,18,2,-1.0,0.4857142857142857,0.3008920359517971,-0.0285714285714285,0.3008920359517971,-1.0,5382,296,493,open
17995,3201,17,23,0.9803600654664484,0.901060070671378,0.6,18,2,-1.0,0.5,0.3008920359517971,0.0,0.3008920359517971,-0.3333333333333333,42,296,701,open
17995,3201,17,23,0.5204582651391162,0.901060070671378,1.0,18,3,1.0,0.6,0.3008920359517971,0.2,0.3008920359517971,-0.3333333333333333,14008,296,701,close
17995,3201,17,23,0.8293780687397708,0.901060070671378,1.0,18,2,0.0,0.0862068965517241,0.2570939440480909,-0.8275862068965517,0.2570939440480909,-0.3333333333333333,42,296,701,open
17995,3201,12,23,0.735981308411215,1.3417721518987342,1.0,18,3,0.0,0.0862068965517241,0.2570939440480909,-0.8275862068965517,0.2570939440480909,-1.0,14008,296,23,open
17995,3201,12,23,0.7710280373831776,1.3417721518987342,1.0,18,3,0.0,0.0862068965517241,0.2570939440480909,-0.8275862068965517,0.2570939440480909,-1.0,45,296,23,open
17995,3201,12,23,0.7920560747663551,1.3417721518987342,1.0,18,3,0.0,0.0862068965517241,0.2570939440480909,-0.8275862068965517,0.2570939440480909,-1.0,14008,296,23,open
17995,3201,12,23,0.8691588785046729,1.3417721518987342,1.0,18,3,0.0,0.0862068965517241,0.2570939440480909,-0.8275862068965517,0.2570939440480909,-1.0,14008,296,23,open
